date,ticker,name,close,change,volume,indiv,organ,frgn,foreign_ratio,open,high,low,amount,marcap,shares,market
20051201,000020,동화약품,22500,-499,89799,2799,-4479,1680,2.640625,23000,23250,22450,2038620000,125691615000,5586294,KOSPI
20051201,000040,효성기계,935,10,4367486,-154010,152000,2000,1.3701171875,930,935,905,4031434800,94536934635,101109021,KOSPI
20051201,000050,경방,105000,998,421,-100,100,,0.1700439453125,102000,105000,101000,42862000,218400000000,2080000,KOSPI
20051201,000060,메리츠화재,43900,802,27697,10890,-3160,-7730,34.34375,43100,46850,43100,1223572300,376662000000,8580000,KOSPI
20051201,000070,삼양사,48950,-300,33508,-3440,3780,-340,10.1171875,49450,49450,48200,1632641100,481847352800,9843664,KOSPI
20051201,000075,삼양사(1우),29600,200,260,0,,,0.1600341796875,28450,29700,28450,7649000,11458160000,387100,KOSPI
20051201,000100,유한양행,187500,-999,24591,5301,-5320,-4,16.828125,186500,190000,185000,4602168500,1518202875000,8097082,KOSPI
20051201,000105,유한양행(1우),180000,11492,20,0,,,14.1875,165000,180000,165000,3450000,42513840000,236188,KOSPI
20051201,000120,대한통운,83300,-503,14228,1620,-30,-1790,6.75,83000,84000,82100,1183958400,921203204600,11058862,KOSPI
20051201,000140,하이트맥주,148000,-3005,75992,15148,-8306,-6347,29.984375,148500,151000,147500,11307010500,2841186784000,19197208,KOSPI
20051201,000145,하이트맥주(1우),65600,-1202,3130,-1800,-10,1810,66.8125,65200,67000,65200,207813000,55349672000,843745,KOSPI
20051201,000150,두산,29150,-601,162489,-12669,12909,1980,8.5390625,29800,30250,28750,4751561350,669882711850,22980539,KOSPI
20051201,000155,두산(1우),13300,200,60510,12530,7470,-20000,2.55078125,12900,13300,11900,773006000,62934097100,4731887,KOSPI
20051201,000157,두산(2우B),13250,-750,2210,10,-10,,0.389892578125,13600,13800,12800,29029500,13752532750,1037927,KOSPI
20051201,000180,성창기업,16200,-250,256860,-3240,,2240,0.429931640625,16700,16800,15900,4198218000,97200000000,6000000,KOSPI
20051201,000210,대림산업,67300,-700,146650,10590,42390,-52990,62.125,67000,67600,65900,9816465000,2342040000000,34800000,KOSPI
20051201,000215,대림산업(1우),48300,302,2890,-780,2180,-1400,50.5625,47300,48300,47300,139106500,183540000000,3800000,KOSPI
20051201,000220,유유,74500,-3299,6840,0,0,,0.1300048828125,77800,77800,74500,519117000,86888605000,1166290,KOSPI
20051201,000225,유유(1우),45000,-3450,1420,0,0,,0.449951171875,47500,47500,45000,65634500,10201185000,226693,KOSPI
20051201,000227,유유(2우B),43150,-4299,1463,0,,,0.0,47000,47000,40500,64432450,1416010400,32816,KOSPI
20051201,000230,일동제약,45900,400,18823,6417,283,-6810,19.140625,46000,47400,44050,854470200,178775726400,3894896,KOSPI
20051201,000240,한국타이어,13000,500,805575,-270055,-8718,278773,50.71875,12550,13000,12550,10342207500,1952469077000,150189929,KOSPI
20051201,000250,삼천당제약,5060,-60,898062,46836,-60000,13164,0.0200042724609375,5070,5150,5050,4572215210,101200000000,20000000,KOSDAQ
20051201,000270,기아차,23750,-951,8097260,3526190,-354980,-3203740,29.71875,24000,24200,23000,190294036000,8246723306250,347230455,KOSPI
20051201,000300,성용HM,3825,-70,32380,-1010,1010,,2.900390625,3900,3910,3800,124346150,11433709125,2989205,KOSPI
20051201,000320,디피아이,8170,-80,20751,1100,2100,-3200,10.6875,8290,8300,8150,171107970,173429083500,21227550,KOSPI
20051201,000325,디피아이(1우),4995,95,1330,0,,,13.4765625,4800,4995,4800,6443800,2532465000,507000,KOSPI
20051201,000360,삼환기업,21550,449,52930,-22160,7200,14960,11.1171875,21100,21700,21000,1137292000,254835107250,11825295,KOSPI
20051201,000365,삼환기업(1우),14000,200,5950,-1140,1140,,2.740234375,13750,14000,13600,81948000,20302716000,1450194,KOSPI
20051201,000370,신동아화재,11350,200,51990,-2590,2000,590,0.360107421875,11000,11800,10850,588857500,175666719400,15477244,KOSPI
20051201,000390,삼화페인트,3985,-15,77610,13470,-30170,16700,11.25,4070,4070,3970,310245150,89264000000,22400000,KOSPI
20051201,000400,대한화재,12100,200,68160,300,,,0.2900390625,11800,12350,11700,820981000,101761000000,8410000,KOSPI
20051201,000420,로케트전기,7810,-290,712332,-16480,-2510,13990,0.08001708984375,8040,8150,7770,5652757420,46228717700,5919170,KOSPI
20051201,000425,로케트전기(1우),3965,-130,28030,0,,,0.0,4010,4050,3950,111954900,3374278440,851016,KOSPI
20051201,000430,대원강업,28250,-401,45318,1061,4099,-5160,5.140625,28650,28650,27450,1259235000,169500000000,6000000,KOSPI
20051201,000440,중앙에너비스,40050,0,115,0,,,0.0,38800,40050,38800,4577600,17541900000,438000,KOSDAQ
20051201,000470,그린화재보험,7700,-290,48260,8280,-11000,2720,0.01000213623046875,7980,8200,7700,380333300,77000000000,10000000,KOSPI
20051201,000480,조선내화,35500,1200,2560,-1940,1680,260,8.34375,34250,35500,34250,89515000,142000000000,4000000,KOSPI
20051201,000490,대동공업,11200,0,18660,10,-10,,0.1700439453125,11050,11250,10900,205778000,53151190400,4745642,KOSPI
20051201,000500,가온전선,18950,0,5220,640,-640,,1.599609375,18500,19250,18500,99107000,73905000000,3900000,KOSPI
