date,ticker,name,close,change,volume,indiv,organ,frgn,foreign_ratio,open,high,low,amount,marcap,shares
20240603,000020,동화약품,8370,90,35614,,-370,7630,5.15,8280,8390,8200,298089180,233786403900,27931470
20240603,000040,KR모터스,3530,45,102351,,0,67302,42.7,3465,3605,3425,361299030,60980877080,17275036
20240603,000050,경방,7620,-50,2695,,16,80,0.88,7740,7850,7610,20535900,208904357400,27415270
20240603,000070,삼양홀딩스,46577,66,4978,,-800,-15,8.57,46644,46911,46377,231860306,361586147207,7763191
20240603,000080,하이트진로,20100,0,98401,,5576,3468,9.74,20100,20100,19990,1977860100,1409685581100,70133611
20240603,000087,하이트진로2우B,16080,140,1881,,0,0,0.43,15940,16170,15930,30246480,18172619040,1130138
20240603,000100,유한양행,75000,6200,4589831,,31219,245954,19.93,70700,82300,70300,344237325000,5521183575000,73615781
20240603,000105,유한양행우,63800,2900,51384,,307,1802,0.57,60900,69900,60900,3278299200,73264092000,1148340
20240603,000120,CJ대한통운,103700,0,87465,,-23088,12848,13.12,104900,105100,102000,9070120500,2365640072800,22812344
20240603,000140,하이트진로홀딩스,9070,50,6827,,-1278,-1470,6.98,9030,9080,9020,61920890,210485358550,23206765
20240603,000145,하이트진로홀딩스우,12190,300,170,,0,0,0.67,11890,12190,11850,2072300,5739173900,470810
20240603,000150,두산,200000,-6000,151636,,-28407,12005,19.15,208000,212000,196700,30327200000,3238767000000,16193835
20240603,000155,두산우,84100,-2100,10740,,701,-3826,8.73,86200,87500,81800,903234000,336102454200,3996462
20240603,000157,두산2우B,87300,600,832,,9,-73,0.25,87100,88900,86200,72633600,77962217400,893038
20240603,000180,성창기업지주,9600,70,9746,,43,8309,2.01,9500,9600,9495,93561600,133923072000,13950320
20240603,000210,DL,54000,-1400,53010,,-5838,-7300,13.44,54900,55500,53800,2862540000,1131617736000,20955884
20240603,000215,DL우,26950,100,589,,-4,128,7.05,26850,27000,26750,15873550,45440799250,1686115
20240603,000220,유유제약,4995,-5,81801,,-98,10860,1.13,4955,5060,4955,408595995,78658572690,15747462
20240603,000225,유유제약1우,5120,20,1532,,0,-1,0.55,5180,5180,5050,7843840,11606681600,2266930
20240603,000227,유유제약2우B,11450,0,469,,0,0,0.15,11450,11450,11290,5370050,3697892000,322960
20240603,000230,일동홀딩스,8070,80,14436,,-6,3407,1.08,8130,8130,7990,116498520,93131028000,11540400
20240603,000240,한국앤컴퍼니,15300,170,49149,,1266,19253,9.58,15130,15300,15060,751979700,1452509172000,94935240
20240603,000270,기아,120700,3000,906152,,119136,5806,41.2,120100,122800,119800,109372546400,47122848858600,390412998
20240603,000300,DH오토넥스,4200,0,0,,0,0,0.86,4200,4200,4200,0,174035631000,41437055
20240603,000320,노루홀딩스,12390,-120,14348,,-4758,448,4.34,12510,12520,12350,177771720,164677360890,13291151
20240603,000325,노루홀딩스우,34000,-50,218,,0,0,3.48,33500,34000,33200,7412000,8281006000,243559
20240603,000370,한화손해보험,4885,35,217336,,47053,-17054,13.96,4815,4900,4765,1061686360,570269599775,116738915
20240603,000390,SP삼화,8180,70,442556,,-708,18158,6.54,8110,8340,8070,3620108080,222524376420,27203469
20240603,000400,롯데손해보험,3120,-5,694756,,5063,106817,1.03,3130,3185,3065,2167638720,968249318400,310336320
20240603,000430,대원강업,5340,110,212529,,-1891,5301,2.0,5230,5430,5230,1134904860,331080000000,62000000
20240603,000480,CR홀딩스,6120,60,5127,,2,1110,1.4,6060,6140,6060,31377240,286969798800,46890490
20240603,000490,대동,11450,250,134294,,-1898,46107,4.64,11210,11560,11210,1537666300,330067604250,28826865
20240603,000500,가온전선,28728,-1001,743978,,-10590,67190,4.55,29451,29951,28284,21372999984,855451093896,29777607
