date,ticker,name,close,change,volume,indiv,organ,frgn,foreign_ratio
20260504,000020,동화약품,6000,-60,84206,,-607,-15130,2.67
20260504,000040,KR모터스,2180,25,27732,,-20,-37511,29.89
20260504,000050,경방,10320,220,85720,,995,15446,2.71
20260504,000070,삼양홀딩스,68200,-1600,12054,,-1076,-5082,8.39
20260504,000080,하이트진로,17070,-40,122584,,-8974,-41006,5.72
20260504,000087,하이트진로2우B,14080,30,1637,,-76,20,1.29
20260504,000100,유한양행,90500,-1100,352126,,-27589,-222023,18.32
20260504,000105,유한양행우,75300,-1300,13145,,1,-2105,0.09
20260504,000120,CJ대한통운,101300,200,52193,,-7314,-199,17.72
20260504,000140,하이트진로홀딩스,9200,-10,32500,,-2485,-10367,7.41
20260504,000145,하이트진로홀딩스우,12150,150,399,,-99,0,1.24
20260504,000150,두산,1705000,109000,84369,,339,-2935,18.61
20260504,000155,두산우,682000,37000,21554,,-12,-781,7.12
20260504,000157,두산2우B,601000,37000,1972,,0,695,1.74
20260504,000180,성창기업지주,7150,-50,46471,,-186,-20788,0.38
20260504,000210,DL,67400,-4100,159622,,2092,-41719,17.89
20260504,000215,DL우,29250,-1050,5138,,100,-2465,7.57
20260504,000220,유유제약,4245,0,41570,,5778,-5128,2.17
20260504,000225,유유제약1우,4460,10,3451,,0,-536,1.03
20260504,000227,유유제약2우B,10820,10,159,,0,0,0.32
20260504,000230,일동홀딩스,9780,-170,40587,,-27,-4800,2.61
20260504,000240,한국앤컴퍼니,25300,350,146361,,38175,-26384,9.92
20260504,000270,기아,154000,2200,779973,,-105846,139543,38.29
20260504,000300,DH오토넥스,4200,0,0,,0,0,0.67
20260504,000320,노루홀딩스,22000,-100,24005,,-2859,-3217,2.89
20260504,000325,노루홀딩스우,30850,-700,397,,0,0,2.96
20260504,000370,한화손해보험,6850,230,626311,,15756,76767,12.15
20260504,000390,SP삼화,9260,-190,549372,,-12652,3812,17.6
20260504,000400,롯데손해보험,2195,80,2938649,,-78875,-33696,1.19
20260504,000430,대원강업,4360,-5,91384,,4793,-5277,3.39
20260504,000480,CR홀딩스,5040,-80,28867,,-156,-18570,1.13
20260504,000490,대동,10610,480,701113,,-12802,42077,5.02
20260504,000500,가온전선,160315,26118,405812,,-9072,-1939,1.23
20260504,000520,삼일제약,9180,290,469090,,85918,-59838,3.64
20260504,000540,흥국화재,4470,55,174670,,-379,-11180,1.94
20260504,000545,흥국화재우,7180,160,1941,,0,0,11.2
20260504,000590,CS홀딩스,80200,-200,1493,,0,332,3.47
20260504,000640,동아쏘시오홀딩스,98500,600,11688,,-2042,-65,15.77
20260504,000650,천일고속,198800,-2200,2518,,-2,-202,1.0
20260504,000660,SK하이닉스,1447000,161000,5776641,,707441,1229124,53.22
20260504,000670,영풍,67500,1600,39381,,-391,6086,16.2
20260504,000680,LS네트웍스,4210,-265,1324446,,175,36495,1.41
20260504,000700,유수홀딩스,6120,-130,55826,,-115,-16312,20.7
20260504,000720,현대건설,159400,-2400,1088761,,-250049,127650,23.46
20260504,000725,현대건설우,73600,-700,10900,,1,-2686,6.25
20260504,000760,이화산업,16000,210,4197,,-25,-1173,0.42
20260504,000810,삼성화재,473500,12500,146921,,9921,2614,57.02
20260504,000815,삼성화재우,373000,500,25297,,-11888,1014,25.54
20260504,000850,화천기공,38850,100,8587,,-1253,-4123,11.53
20260504,000860,강남제비스코,16350,-490,31061,,-788,-6557,5.88
20260504,000880,한화,167946,7803,253100,,-47889,55706,21.17
20260504,00088K,한화3우B,50845,1007,55253,,1529,12262,26.11
20260504,000890,보해양조,2110,0,0,,0,0,3.53
20260504,000910,유니온,4500,-20,129432,,5455,-12943,7.43
20260504,000950,전방,33900,-250,1801,,-4,-9,1.15
20260504,000970,한국주철관,7300,-50,70633,,-5708,-15857,2.77
20260504,000990,DB하이텍,161700,3200,566598,,-1790,-154613,25.09
20260504,001020,페이퍼코리아,3370,0,0,,0,0,0.3
20260504,001040,CJ,224500,0,102222,,-275,1412,16.1
20260504,001045,CJ우,90800,700,4742,,32,-1110,14.98
20260504,00104K,CJ4우(전환),193000,1000,8753,,1630,-1736,4.12
20260504,001060,JW중외제약,30700,-500,67936,,-1490,-3578,8.0
20260504,001065,JW중외제약우,26000,-300,206,,0,0,0.31
20260504,001067,JW중외제약2우B,55200,-100,10,,0,0,0.15
20260504,001070,대한방직,6910,-90,26187,,-300,-6908,2.85
20260504,001080,만호제강,5160,-140,57697,,-144,-8865,0.46
20260504,001120,LX인터내셔널,52300,-1100,118917,,-12467,-7705,24.77
20260504,001130,대한제분,15650,0,0,,0,0,8.05
20260504,001200,유진투자증권,5980,390,6084207,,151132,-282564,12.72
20260504,001210,금호전기,4605,-100,269178,,-13,-388568,13.8
20260504,001230,동국홀딩스,2545,0,0,,0,0,12.35
20260504,001250,GS글로벌,4665,-445,6149407,,-13374,-106823,6.1
20260504,001260,남광토건,9780,-100,37152,,-34,-4741,2.62
20260504,001270,부국증권,76400,3400,37669,,425,9308,0.89
20260504,001275,부국증권우,36400,200,2458,,0,-107,9.58
20260504,001290,상상인증권,1336,31,5820094,,-3727,-69127,0.63
20260504,001340,PKC,7390,60,483462,,-6925,35231,4.32
20260504,001360,삼성제약,1992,-38,2030832,,13254,-333282,4.85
20260504,001380,SG글로벌,2200,0,0,,0,0,4.71
