ticker,debt_ratio,as_of
000020,45.3,20260829
000030,1640.3,20260829
000040,146.3,20260829
000050,42.1,20260829
000060,546.0,20260829
000070,19.7,20260829
000080,164.2,20260829
000100,19.9,20260829
000120,111.5,20260829
000140,63.9,20260829
000150,74.7,20260829
000180,17.6,20260829
0001A0,53.1,20260530
000210,11.1,20260829
000220,34.9,20260829
000230,49.3,20260829
000240,8.8,20260829
000250,63.9,20260829
000270,52.3,20260829
000300,54.2,20260829
000320,13.2,20260829
000370,519.8,20260829
000390,100.5,20260829
000400,1272.6,20260829
000430,53.8,20260829
000440,7.9,20260829
000480,27.8,20260829
000490,271.1,20260829
0004V0,128.7,20260829
0004Y0,15.3,20260829
000500,86.1,20260829
000520,142.8,20260829
000540,940.6,20260829
000590,4.7,20260829
000640,38.3,20260829
000650,707.3,20260829
000660,31.9,20260829
000670,52.9,20260829
000680,90.0,20260829
000700,4.1,20260829
000720,107.7,20260829
000760,36.5,20260829
0007C0,22.9,20260829
0007J0,3.7,20260829
000810,218.1,20260829
000850,28.0,20260829
000860,88.3,20260829
000880,218.0,20260829
000890,66.7,20260829
0008Z0,36.0,20260829
000910,55.0,20260829
000950,3.8,20260829
000970,16.5,20260829
000990,15.5,20260829
0009K0,3.7,20260829
001000,121.7,20260829
001020,57.2,20260829
001040,12.0,20260829
001060,51.7,20260829
001070,54.8,20260829
001080,12.0,20260415
0010F0,142.4,20260829
0010V0,23.3,20260829
001120,66.9,20260829
001130,34.2,20260829
001140,436.4,20260415
0011A0,68.6,20260829
0011T0,63.5,20260829
001200,1174.6,20260829
001210,92.0,20260829
001230,3.6,20260829
001250,129.5,20260829
001260,219.6,20260829
001270,852.3,20260829
001290,700.1,20260829
001340,178.6,20260829
001360,67.5,20260829
001380,24.1,20260829
001390,58.9,20260829
0013V0,75.7,20260829
001420,11.1,20260829
001430,12.2,20260829
001440,102.2,20260829
001450,678.6,20260829
001460,37.7,20260829
001470,210.0,20260829
001500,754.7,20260829
001510,1149.8,20260829
001520,62.3,20260829
001530,94.7,20260829
001540,84.5,20260829
001550,142.5,20260829
001560,15.7,20260829
001570,182.6,20260530
0015G0,54.5,20260829
0015N0,19.2,20260829
0015S0,13.1,20260829
001620,109.1,20260829
001630,18.3,20260829
001680,157.1,20260829
001720,582.6,20260530
001740,86.2,20260829
