rcept_dt,ticker,report_nm
20260422,002210,[기재정정]주요사항보고서(유상증자결정)
20260423,015590,[기재정정]주요사항보고서(유상증자결정)
20260428,007460,주요사항보고서(전환사채권발행결정)
20260429,011000,[기재정정]주요사항보고서(전환사채권발행결정)
20260429,011300,[기재정정]주요사항보고서(신주인수권부사채권발행결정)
20260429,011300,[기재정정]주요사항보고서(유상증자결정)
20260429,071950,[기재정정]주요사항보고서(전환사채권발행결정)
20260430,006490,[기재정정]주요사항보고서(전환사채권발행결정)
20260430,006490,주요사항보고서(유상증자결정)
20260430,019490,[기재정정]주요사항보고서(유상증자결정)
20260430,036420,[기재정정]주요사항보고서(전환사채권발행결정)
20260430,403550,주요사항보고서(유상증자결정)
20260506,145210,[기재정정]주요사항보고서(유상증자결정)
20260508,006490,[기재정정]주요사항보고서(유상증자결정)
20260508,006740,[기재정정]주요사항보고서(전환사채권발행결정)
20260508,009190,주요사항보고서(유상증자결정)
20260508,012170,주요사항보고서(유상증자결정)
20260508,012200,주요사항보고서(유상증자결정)
20260511,006740,[기재정정]주요사항보고서(유상증자결정)
20260511,006740,[기재정정]주요사항보고서(전환사채권발행결정)
20260511,006740,주요사항보고서(전환사채권발행결정)
20260511,009190,[기재정정]주요사항보고서(유상증자결정)
20260512,001520,주요사항보고서(유상증자결정)
20260512,002710,주요사항보고서(전환사채권발행결정)
20260512,009830,[기재정정]주요사항보고서(유상증자결정)
20260512,011790,[기재정정]주요사항보고서(유상증자결정)
20260514,002710,[첨부정정]주요사항보고서(전환사채권발행결정)
20260514,006740,[기재정정]주요사항보고서(전환사채권발행결정)
20260514,009830,[기재정정]주요사항보고서(유상증자결정)
20260515,006740,[기재정정]주요사항보고서(전환사채권발행결정)
20260519,006490,[기재정정]주요사항보고서(유상증자결정)
20260519,403550,[기재정정]주요사항보고서(유상증자결정)
20260520,002070,주요사항보고서(전환사채권발행결정)
20260520,004710,[기재정정]주요사항보고서(유상증자결정)
20260520,006740,[기재정정]주요사항보고서(전환사채권발행결정)
20260520,017860,주요사항보고서(전환사채권발행결정)
20260521,003060,주요사항보고서(전환사채권발행결정)
20260521,007460,주요사항보고서(전환사채권발행결정)
20260521,089860,[기재정정]주요사항보고서(유상증자결정)
20260522,001210,[기재정정]주요사항보고서(유상증자결정)
20260522,001210,[기재정정]주요사항보고서(전환사채권발행결정)
20260522,074610,주요사항보고서(전환사채권발행결정)
20260526,003060,주요사항보고서(전환사채권발행결정)
20260526,009830,[기재정정]주요사항보고서(유상증자결정)
20260528,071950,[기재정정]주요사항보고서(전환사채권발행결정)
20260528,074610,[기재정정]주요사항보고서(전환사채권발행결정)
20260602,003060,[기재정정]주요사항보고서(전환사채권발행결정)
20260602,005940,주요사항보고서(유상증자결정)
20260605,004710,[기재정정]주요사항보고서(유상증자결정)
20260605,006740,[기재정정]주요사항보고서(전환사채권발행결정)
20260608,006490,[기재정정]주요사항보고서(유상증자결정)
20260608,006740,[기재정정]주요사항보고서(전환사채권발행결정)
20260609,000720,주요사항보고서(전환사채권발행결정)
20260609,090370,주요사항보고서(유상증자결정)
20260609,118000,주요사항보고서(유상증자결정)
20260609,143210,주요사항보고서(유상증자결정)
20260610,006340,주요사항보고서(전환사채권발행결정)
20260610,006740,[기재정정]주요사항보고서(전환사채권발행결정)
20260610,011330,주요사항보고서(유상증자결정)
20260611,000520,주요사항보고서(전환사채권발행결정)
20260611,009190,[기재정정]주요사항보고서(유상증자결정)
20260611,012200,[기재정정]주요사항보고서(유상증자결정)
20260612,006740,[기재정정]주요사항보고서(전환사채권발행결정)
20260612,006740,주요사항보고서(전환사채권발행결정)
20260612,009830,[기재정정]주요사항보고서(유상증자결정)
20260615,006490,[기재정정]주요사항보고서(전환사채권발행결정)
20260616,011330,[기재정정]주요사항보고서(유상증자결정)
20260616,143210,주요사항보고서(유상증자결정)
20260617,011300,[기재정정]주요사항보고서(유상증자결정)
20260618,011300,[기재정정]주요사항보고서(유상증자결정)
20260618,011300,[첨부정정]주요사항보고서(유상증자결정)
20260618,025620,[기재정정]주요사항보고서(전환사채권발행결정)
20260618,074610,[기재정정]주요사항보고서(유상증자결정)
20260619,002070,주요사항보고서(유상증자결정)
20260619,003060,[기재정정]주요사항보고서(전환사채권발행결정)
20260619,006490,[기재정정]주요사항보고서(유상증자결정)
20260622,002070,주요사항보고서(유상증자결정)
20260622,091810,주요사항보고서(유상증자결정)
20260622,092790,주요사항보고서(전환사채권발행결정)
20260624,000660,주요사항보고서(유상증자결정)
20260624,003060,[기재정정]주요사항보고서(전환사채권발행결정)
20260625,001750,주요사항보고서(유상증자결정)
20260625,071950,[기재정정]주요사항보고서(유상증자결정)
20260625,071950,[기재정정]주요사항보고서(전환사채권발행결정)
20260626,006740,[기재정정]주요사항보고서(유상증자결정)
20260626,074610,[기재정정]주요사항보고서(전환사채권발행결정)
20260626,079550,주요사항보고서(유상증자결정)
20260626,194370,주요사항보고서(전환사채권발행결정)
20260629,001470,주요사항보고서(유상증자결정)
20260629,002070,[기재정정]주요사항보고서(유상증자결정)
20260629,003060,[기재정정]주요사항보고서(전환사채권발행결정)
20260629,092790,[기재정정]주요사항보고서(전환사채권발행결정)
20260629,118000,[기재정정]주요사항보고서(유상증자결정)
20260630,001210,[기재정정]주요사항보고서(유상증자결정)
20260630,001210,[기재정정]주요사항보고서(전환사채권발행결정)
20260630,001570,[기재정정]주요사항보고서(유상증자결정)
20260630,005110,[기재정정]주요사항보고서(유상증자결정)
20260630,005110,[기재정정]주요사항보고서(전환사채권발행결정)
20260630,019490,[기재정정]주요사항보고서(전환사채권발행결정)
20260630,036420,[기재정정]주요사항보고서(전환사채권발행결정)
20260703,074610,[기재정정]주요사항보고서(전환사채권발행결정)
20260706,000660,[기재정정]주요사항보고서(유상증자결정)
20260707,012170,주요사항보고서(유상증자결정)
20260708,006740,[기재정정]주요사항보고서(유상증자결정)
20260708,006740,주요사항보고서(전환사채권발행결정)
20260709,004710,[기재정정]주요사항보고서(유상증자결정)
20260709,025560,[기재정정]주요사항보고서(유상증자결정)
20260709,109070,주요사항보고서(유상증자결정)
20260709,109070,주요사항보고서(전환사채권발행결정)
20260710,000660,[기재정정]주요사항보고서(유상증자결정)
20260710,009810,주요사항보고서(유상증자결정)
20260713,001750,[기재정정]주요사항보고서(유상증자결정)
20260713,001750,[첨부정정]주요사항보고서(유상증자결정)
20260713,006740,[기재정정]주요사항보고서(유상증자결정)
20260713,007460,주요사항보고서(전환사채권발행결정)
20260713,071950,[기재정정]주요사항보고서(유상증자결정)
20260714,003060,주요사항보고서(유상증자결정)
20260715,002070,[기재정정]주요사항보고서(유상증자결정)
20260716,001750,[기재정정]주요사항보고서(유상증자결정)
20260716,001750,[첨부정정]주요사항보고서(유상증자결정)
20260716,011300,주요사항보고서(유상증자결정)
20260720,009830,[기재정정]주요사항보고서(유상증자결정)
20260720,044380,주요사항보고서(유상증자결정)
20260721,011090,주요사항보고서(유상증자결정)
20260721,011330,[기재정정]주요사항보고서(유상증자결정)
20260721,071950,[기재정정]주요사항보고서(유상증자결정)
20260722,071950,[기재정정]주요사항보고서(전환사채권발행결정)
20260723,009190,주요사항보고서(전환사채권발행결정)
20260724,006740,주요사항보고서(유상증자결정)
20260724,012200,[기재정정]주요사항보고서(유상증자결정)
20260727,035420,주요사항보고서(유상증자결정)
20260727,229640,주요사항보고서(전환사채권발행결정)
20260728,009810,주요사항보고서(유상증자결정)
20260728,210980,주요사항보고서(유상증자결정)
20260729,017810,주요사항보고서(유상증자결정)
20260730,002070,[기재정정]주요사항보고서(유상증자결정)
20260731,006740,[기재정정]주요사항보고서(유상증자결정)
20260731,009190,[기재정정]주요사항보고서(유상증자결정)
20260731,012170,[기재정정]주요사항보고서(유상증자결정)
20260803,003620,주요사항보고서(전환사채권발행결정)
20260803,034730,주요사항보고서(전환사채권발행결정)
20260805,009190,[기재정정]주요사항보고서(전환사채권발행결정)
20260805,011000,주요사항보고서(유상증자결정)
20260805,109070,[기재정정]주요사항보고서(유상증자결정)
20260805,109070,[기재정정]주요사항보고서(전환사채권발행결정)
20260806,003580,주요사항보고서(전환사채권발행결정)
20260807,001470,[기재정정]주요사항보고서(유상증자결정)
20260807,006740,[기재정정]주요사항보고서(유상증자결정)
20260807,006740,[기재정정]주요사항보고서(전환사채권발행결정)
20260810,007460,주요사항보고서(전환사채권발행결정)
20260810,011000,[기재정정]주요사항보고서(유상증자결정)
20260813,011090,[기재정정]주요사항보고서(유상증자결정)
20260814,012170,주요사항보고서(유상증자결정)
20260819,006740,[기재정정]주요사항보고서(유상증자결정)
20260819,009810,[기재정정]주요사항보고서(유상증자결정)
20260820,004140,주요사항보고서(전환사채권발행결정)
20260824,011000,[기재정정]주요사항보고서(유상증자결정)
20260826,011090,[기재정정]주요사항보고서(유상증자결정)
20260826,448730,주요사항보고서(유상증자결정)
20260827,003620,주요사항보고서(전환사채권발행결정)
20260827,009410,주요사항보고서(유상증자결정)
20260828,006490,[기재정정]주요사항보고서(유상증자결정)
20260828,006490,[기재정정]주요사항보고서(전환사채권발행결정)
20260828,009190,주요사항보고서(유상증자결정)
20260828,207940,주요사항보고서(유상증자결정)
