fam,ticker,dt,entry,market,amt20,r5,r10,r20,r40
공급계약,182400,20180130,20180131,KOSDAQ,99.7,-6.04,-6.25,-11.18,-14.38
공급계약,141000,20180130,20180131,KOSDAQ,38.8,-14.56,-14.83,-19.83,-25.09
공급계약,089030,20180130,20180131,KOSDAQ,36.5,-2.51,3.22,5.41,8.41
공급계약,065130,20180130,20180131,KOSDAQ,7.4,-4.93,-6.13,-9.59,-13.04
공급계약,037350,20180130,20180131,KOSDAQ,6.7,7.15,27.3,26.29,13.48
공급계약,036810,20180130,20180131,KOSDAQ,29.3,-10.45,-1.23,-8.54,1.37
공급계약,036200,20180130,20180131,KOSDAQ,35.8,0.07,5.65,14.22,28.24
공급계약,012450,20180130,20180131,KOSPI,154.9,-12.59,-19.06,-19.5,-16.12
배당결정,139480,20180130,20180131,KOSPI,305.5,-7.05,-5.05,-0.88,-9.21
배당결정,078930,20180130,20180131,KOSPI,140.6,-7.37,-8.82,-3.87,-7.22
배당결정,051910,20180130,20180131,KOSPI,778.4,-13.67,-14.25,-13.67,-10.78
배당결정,035510,20180130,20180131,KOSPI,65.7,-12.88,22.0,23.55,31.3
배당결정,035000,20180130,20180131,KOSPI,1.3,-5.1,-8.92,-8.07,-9.13
자사주직접,001270,20180130,20180131,KOSPI,1.0,4.13,2.48,-1.73,-2.1
자사주직접,049520,20180130,20180131,KOSDAQ,5.2,0.64,1.24,-0.11,-8.92
배당결정,001840,20180130,20180131,KOSDAQ,10.8,-8.07,-1.9,7.64,41.32
배당결정,030000,20180130,20180131,KOSPI,55.1,-0.48,-6.51,-8.52,-4.25
배당결정,009150,20180130,20180131,KOSPI,881.0,-10.0,-7.71,-15.62,-2.28
배당결정,007070,20180130,20180131,KOSPI,82.0,-6.61,-10.11,-15.75,-16.37
배당결정,004170,20180130,20180131,KOSPI,226.1,-4.49,-9.48,-4.79,12.25
배당결정,003550,20180130,20180131,KOSPI,220.1,-7.65,-5.89,-7.43,-4.45
배당결정,003230,20180130,20180131,KOSPI,144.8,-3.15,-0.6,-5.14,-9.57
배당결정,002720,20180130,20180131,KOSPI,54.2,24.95,11.4,1.91,8.71
배당결정,012630,20180130,20180131,KOSPI,77.0,-8.13,-12.19,-17.82,-14.1
배당결정,000810,20180130,20180131,KOSPI,274.9,-1.79,-3.89,-1.43,-5.65
배당결정,007820,20180130,20180131,KOSDAQ,59.4,-7.8,-5.94,-13.06,-18.02
배당결정,046890,20180130,20180131,KOSDAQ,229.0,-16.48,-14.77,-10.58,-27.72
배당결정,017480,20180130,20180131,KOSDAQ,1.0,-4.98,-5.21,-2.53,2.37
배당결정,072020,20180130,20180131,KOSDAQ,10.6,-8.46,-5.76,-9.53,-4.42
배당결정,000520,20180130,20180131,KOSPI,4.2,25.68,45.21,45.21,240.39
배당결정,064850,20180130,20180131,KOSDAQ,0.0,-1.62,1.82,4.69,19.04
배당결정,060370,20180130,20180131,KOSDAQ,2.7,-7.15,-7.6,-7.5,1.62
배당결정,066310,20180130,20180131,KOSDAQ,3.1,-3.06,-0.91,-6.37,-12.11
배당결정,001120,20180131,20180201,KOSPI,96.7,-7.65,-7.65,-13.31,-10.48
배당결정,002350,20180131,20180201,KOSPI,13.0,-3.7,-3.7,-2.9,-0.48
배당결정,003780,20180131,20180201,KOSPI,0.7,0.88,-1.87,8.08,-1.01
배당결정,005930,20180131,20180201,KOSPI,164.0,-9.51,-4.81,-7.49,-5.32
배당결정,008930,20180131,20180201,KOSPI,154.2,-7.49,-17.4,-16.15,-12.4
배당결정,006800,20180131,20180201,KOSPI,432.1,-12.72,-13.78,-18.18,-21.09
배당결정,034730,20180131,20180201,KOSPI,317.9,-7.19,-6.88,-6.72,-7.51
배당결정,037710,20180131,20180201,KOSPI,1.4,-4.09,-6.38,-10.33,-6.79
배당결정,096770,20180131,20180201,KOSPI,543.1,-7.28,-3.58,0.36,3.56
배당결정,005720,20180131,20180201,KOSPI,3.5,-3.66,-2.1,-6.41,-7.98
배당결정,089600,20180131,20180201,KOSDAQ,31.6,-1.0,-5.18,2.44,-5.43
공급계약,130660,20180131,20180201,KOSPI,1.6,-4.56,-5.65,-5.29,-16.16
공급계약,030530,20180131,20180201,KOSDAQ,32.5,0.52,-1.01,-4.32,-9.02
공급계약,019660,20180131,20180201,KOSDAQ,8.1,-20.99,-18.29,-22.34,-13.14
공급계약,018000,20180131,20180201,KOSDAQ,67.9,-3.8,-5.39,-11.59,-19.1
공급계약,281820,20180131,20180201,KOSPI,30.4,-4.76,-7.87,-5.24,3.64
배당결정,054950,20180131,20180201,KOSDAQ,7.9,-2.5,-4.04,-8.49,-18.32
공급계약,082740,20180131,20180201,KOSPI,18.8,-13.23,-12.37,-2.14,24.18
공급계약,060980,20180131,20180201,KOSPI,22.2,-11.13,-14.28,-14.94,-20.0
공급계약,014790,20180131,20180201,KOSPI,2.4,-4.69,-6.87,-10.87,-4.09
공급계약,010950,20180131,20180201,KOSPI,416.1,-6.45,-3.21,-0.78,-3.21
공급계약,009410,20180131,20180201,KOSPI,44.4,-9.7,-8.88,-13.39,-16.67
자사주신탁,017370,20180131,20180201,KOSPI,8.7,-0.96,-19.35,-20.86,-24.62
공급계약,036190,20180131,20180201,KOSDAQ,0.7,-2.97,-4.34,-13.28,-10.53
배당결정,108320,20180201,20180202,KOSPI,67.5,-5.48,-6.02,-28.25,-36.73
배당결정,138040,20180201,20180202,KOSPI,11.0,-2.68,-4.77,-10.76,-19.14
배당결정,038390,20180201,20180202,KOSDAQ,0.7,-5.29,-3.38,-2.74,-2.42
배당결정,063080,20180201,20180202,KOSDAQ,220.3,-3.57,-1.22,3.64,-1.66
배당결정,078340,20180201,20180202,KOSDAQ,213.4,-2.51,0.87,7.56,18.09
배당결정,087600,20180201,20180202,KOSDAQ,6.2,-11.43,-13.24,-18.67,-24.38
배당결정,094820,20180201,20180202,KOSDAQ,3.5,-4.65,3.99,2.58,14.75
배당결정,179900,20180201,20180202,KOSDAQ,3.0,-8.35,-5.77,-6.84,-11.16
공급계약,086390,20180201,20180202,KOSDAQ,48.1,6.6,9.36,11.72,9.36
배당결정,003220,20180201,20180202,KOSPI,19.6,-3.33,-4.76,2.26,-7.1
배당결정,103140,20180201,20180202,KOSPI,105.2,-11.05,-7.28,-15.86,-20.25
배당결정,039130,20180201,20180202,KOSPI,117.1,-9.13,-9.55,-13.3,-0.38
배당결정,033780,20180201,20180202,KOSPI,358.4,-7.58,-7.02,-9.17,-7.02
배당결정,028260,20180201,20180202,KOSPI,537.3,-11.84,-9.41,-11.14,-5.94
배당결정,011780,20180201,20180202,KOSPI,194.2,-16.19,-15.82,-17.78,-14.61
배당결정,010120,20180201,20180202,KOSPI,49.6,-20.09,-15.97,-21.12,-16.27
배당결정,006260,20180201,20180202,KOSPI,115.6,-11.09,-2.14,-5.42,-15.49
배당결정,005830,20180201,20180202,KOSPI,91.1,-9.92,-10.99,-11.52,-18.17
배당결정,005810,20180201,20180202,KOSPI,3.5,-8.28,-7.19,-9.01,-9.01
배당결정,001230,20180201,20180202,KOSPI,68.1,-7.71,-12.92,-21.76,-21.33
배당결정,005800,20180201,20180202,KOSPI,0.3,-4.23,-5.25,-9.32,-12.03
공급계약,094360,20180201,20180202,KOSDAQ,80.4,-16.58,-12.56,-12.86,-29.25
