date,market,score,score_rv,volatility,volatility_rv,momentum,strength,trend,risk,safe,breadth,raw_vol20,raw_volsrc,raw_vk,raw_mom,raw_trend,raw_risk,raw_safe,raw_strength,raw_bread,raw_nh,raw_nl
20051201,KOSDAQ,81.9,81.9,72.491,72.491,,,91.078,91.45,91.822,,12.238,14.026,,29.169,19.179,11.953,21.563,14.496,20.01,131.0,3.0
20051202,KOSDAQ,82.3,82.3,73.704,73.704,,,90.741,91.111,91.481,,12.196,13.995,,29.904,18.859,11.646,21.477,15.855,20.566,141.0,1.0
20051205,KOSDAQ,79.8,79.8,67.897,67.897,,,91.513,91.513,92.251,,12.681,14.349,,31.873,20.057,12.122,21.938,18.46,21.355,164.0,1.0
20051206,KOSDAQ,79.3,79.3,67.279,67.279,,,90.809,91.544,92.647,,12.78,14.421,,31.531,19.913,12.222,22.22,14.609,21.269,130.0,1.0
20051207,KOSDAQ,69.7,69.7,52.381,52.381,,,87.912,84.982,88.645,,17.566,17.916,,27.897,16.02,8.105,18.215,7.248,19.315,66.0,2.0
20051208,KOSDAQ,67.1,67.1,50.73,50.73,,,85.401,78.467,87.956,,17.983,18.221,,26.899,13.997,6.724,16.8,7.135,18.227,65.0,2.0
20051209,KOSDAQ,67.2,67.2,49.818,49.818,,,84.0,86.545,82.909,,18.118,18.319,,26.582,13.389,8.508,13.789,6.002,16.556,56.0,3.0
20051212,KOSDAQ,67.7,67.7,49.638,49.638,,,85.87,84.783,87.319,,18.128,18.327,,27.483,14.131,8.12,16.479,7.814,16.852,73.0,4.0
20051213,KOSDAQ,68.1,68.1,50.181,50.181,,,87.004,84.838,85.199,,18.042,18.264,,28.067,14.777,8.187,15.454,7.458,17.475,69.0,3.0
20051214,KOSDAQ,68.6,68.6,50.0,50.0,,,86.331,88.129,87.77,,18.045,18.266,,28.439,14.701,9.405,16.695,7.571,17.948,72.0,5.0
20051215,KOSDAQ,65.2,65.2,46.953,46.953,,,83.154,83.513,84.229,,18.338,18.48,,27.743,13.481,8.098,15.322,7.458,17.034,70.0,4.0
20051216,KOSDAQ,39.5,39.5,10.714,10.714,,,67.857,66.786,72.5,,23.119,21.971,,23.073,8.309,4.474,9.87,3.729,13.738,46.0,13.0
20051219,KOSDAQ,39.1,39.1,9.964,9.964,,,69.751,62.278,75.089,,23.185,22.02,,23.936,8.608,3.043,10.499,7.232,12.435,76.0,12.0
20051220,KOSDAQ,33.7,33.7,9.574,9.574,,,63.121,43.617,70.922,,23.487,22.24,,22.82,7.643,-0.112,9.537,6.215,11.964,64.0,9.0
