ticker,market,industry
060310,KOSDAQ,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
095570,KOSPI,산업용 기계 및 장비 임대업
006840,KOSPI,기타 금융업
054620,KOSDAQ,기타 금융업
079810,KOSDAQ,기타 전기장비 제조업
265520,KOSDAQ,특수 목적용 기계 제조업
211270,KOSDAQ,통신 및 방송 장비 제조업
027410,KOSPI,기타 금융업
282330,KOSPI,종합 소매업
126600,KOSDAQ,합성고무 및 플라스틱 물질 제조업
138930,KOSPI,기타 금융업
001460,KOSPI,봉제의복 제조업
083790,KOSDAQ,자연과학 및 공학 연구개발업
001040,KOSPI,기타 금융업
079160,KOSPI,"영화, 비디오물, 방송프로그램 제작 및 배급업"
035760,KOSDAQ GLOBAL,텔레비전 방송업
311690,KOSDAQ,자연과학 및 공학 연구개발업
000120,KOSPI,도로 화물 운송업
011150,KOSPI,기타 식품 제조업
097950,KOSPI,기타 식품 제조업
051500,KOSDAQ,음·식료품 및 담배 도매업
058820,KOSDAQ,의약품 제조업
056730,KOSDAQ,건물 건설업
000480,KOSPI,"내화, 비내화 요업제품 제조업"
065770,KOSDAQ,통신 및 방송 장비 제조업
083660,KOSDAQ,기타 화학제품 제조업
000590,KOSPI,기타 금융업
012030,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
477760,KOSDAQ,기타 금융업
005830,KOSPI,보험업
016610,KOSPI,금융 지원 서비스업
000990,KOSPI,반도체 제조업
099520,KOSDAQ,영상 및 음향기기 제조업
000300,KOSPI,자동차 신품 부품 제조업
290120,KOSDAQ,자동차 신품 부품 제조업
025440,KOSDAQ,영상 및 음향기기 제조업
001530,KOSPI,상품 중개업
015590,KOSPI,일반 목적용 기계 제조업
000210,KOSPI,기초 화학물질 제조업
375500,KOSPI,토목 건설업
068790,KOSDAQ,특수 목적용 기계 제조업
007340,KOSPI,일차전지 및 이차전지 제조업
004840,KOSPI,고무제품 제조업
241520,KOSDAQ,신탁업 및 집합투자업
155660,KOSPI,1차 비철금속 제조업
069730,KOSPI,1차 철강 제조업
017860,KOSPI,기타 화학제품 제조업
180400,KOSDAQ,기타 과학기술 서비스업
092780,KOSPI,자동차용 엔진 및 자동차 제조업
017940,KOSPI,기타 전문 도매업
418620,KOSDAQ,소프트웨어 개발 및 공급업
245620,KOSDAQ,자연과학 및 공학 연구개발업
037370,KOSDAQ,기초 화학물질 제조업
278990,KONEX,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
365550,KOSPI,부동산 임대 및 공급업
050120,KOSDAQ,생활용품 도매업
383220,KOSPI,봉제의복 제조업
007700,KOSPI,기타 금융업
214270,KOSDAQ,소프트웨어 개발 및 공급업
032620,KOSDAQ,소프트웨어 개발 및 공급업
130500,KOSDAQ,기타 섬유제품 제조업
114090,KOSPI,유원지 및 기타 오락관련 서비스업
019570,KOSDAQ,신탁업 및 집합투자업
900290,KOSDAQ,기타 금융업
078930,KOSPI,기타 금융업
083450,KOSDAQ,특수 목적용 기계 제조업
006360,KOSPI,건물 건설업
001250,KOSPI,상품 종합 도매업
007070,KOSPI,종합 소매업
499790,KOSPI,기타 금융업
297890,KOSDAQ,특수 목적용 기계 제조업
440290,KOSDAQ,기타 금융업
078150,KOSDAQ,특수 목적용 기계 제조업
225530,KOSDAQ,기타 비금속 광물제품 제조업
060560,KOSDAQ,기타 전문 도매업
012630,KOSPI,기타 금융업
039570,KOSPI,전기 및 통신 공사업
089470,KOSPI,기타 화학제품 제조업
267270,KOSPI,특수 목적용 기계 제조업
009540,KOSPI,기타 금융업
267250,KOSPI,기타 금융업
443060,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업"
071970,KOSPI,일반 목적용 기계 제조업
322000,KOSPI,반도체 제조업
267260,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
329180,KOSPI,선박 및 보트 건조업
376270,KOSDAQ,자연과학 및 공학 연구개발업
097230,KOSPI,토목 건설업
195940,KOSDAQ GLOBAL,의약품 제조업
014790,KOSPI,토목 건설업
028300,KOSDAQ,의료용품 및 기타 의약 관련제품 제조업
003580,KOSPI,종합 소매업
278650,KOSDAQ,자연과학 및 공학 연구개발업
067630,KOSDAQ,의료용품 및 기타 의약 관련제품 제조업
024850,KOSDAQ,전자부품 제조업
187420,KOSDAQ,기초 의약물질 제조업
047920,KOSDAQ,자연과학 및 공학 연구개발업
115450,KOSDAQ,기타 전문 도매업
046210,KOSDAQ,의료용품 및 기타 의약 관련제품 제조업
196300,KOSDAQ,기초 의약물질 제조업
204320,KOSPI,자동차 신품 부품 제조업
060980,KOSPI,기타 금융업
011200,KOSPI,해상 운송업
403870,KOSDAQ GLOBAL,특수 목적용 기계 제조업
036640,KOSDAQ,합성고무 및 플라스틱 물질 제조업
035000,KOSPI,광고업
002460,KOSPI,건물 건설업
487570,KOSPI,기타 금융업
298050,KOSPI,화학섬유 제조업
469480,KOSDAQ,금융 지원 서비스업
0099X0,KOSDAQ,금융 지원 서비스업
015360,KOSPI,회사 본부 및 경영 컨설팅 서비스업
294870,KOSPI,건물 건설업
095340,KOSDAQ,기계장비 및 관련 물품 도매업
175330,KOSPI,기타 금융업
950170,KOSDAQ,종합 소매업
234080,KOSPI,의약품 제조업
067290,KOSDAQ,의약품 제조업
001060,KOSPI,의약품 제조업
096760,KOSPI,기타 금융업
035900,KOSDAQ GLOBAL,오디오물 출판 및 원판 녹음업
318000,KOSDAQ,합성고무 및 플라스틱 물질 제조업
008970,KOSPI,1차 철강 제조업
024840,KOSDAQ,1차 비철금속 제조업
105560,KOSPI,기타 금융업
415640,KOSPI,신탁업 및 집합투자업
432320,KOSPI,부동산 임대 및 공급업
024120,KOSDAQ,자동차 신품 부품 제조업
478390,KOSDAQ,금융 지원 서비스업
486630,KOSDAQ,금융 지원 서비스업
492220,KOSDAQ,금융 지원 서비스업
0037T0,KOSDAQ,금융 지원 서비스업
0072Z0,KOSDAQ,금융 지원 서비스업
002380,KOSPI,기타 화학제품 제조업
021320,KOSDAQ,건물 건설업
344820,KOSPI,유리 및 유리제품 제조업
009070,KOSPI,도로 화물 운송업
009440,KOSPI,기타 금융업
112190,KONEX,토목 건설업
119650,KOSPI,일반 목적용 기계 제조업
044180,KOSDAQ,건물 건설업
092220,KOSPI,반도체 제조업
003620,KOSPI,자동차용 엔진 및 자동차 제조업
016380,KOSPI,1차 철강 제조업
151860,KOSDAQ,자동차 차체나 트레일러 제조업
035600,KOSDAQ,소프트웨어 개발 및 공급업
001390,KOSPI,기초 화학물질 제조업
046440,KOSDAQ,소프트웨어 개발 및 공급업
060720,KOSDAQ,전자부품 제조업
001940,KOSPI,1차 철강 제조업
058400,KOSDAQ,텔레비전 방송업
025000,KOSPI,기초 화학물질 제조업
092230,KOSPI,기초 화학물질 제조업
000040,KOSPI,그외 기타 운송장비 제조업
044450,KOSPI,해상 운송업
101000,KOSDAQ,특수 목적용 기계 제조업
030200,KOSPI,전기 통신업
033780,KOSPI,담배 제조업
058850,KOSPI,기타 정보 서비스업
058860,KOSPI,기타 정보 서비스업
089600,KOSDAQ,광고업
418470,KOSDAQ,"서적, 잡지 및 기타 인쇄물 출판업"
043610,KOSDAQ,영상·오디오물 제공 서비스업
122450,KOSDAQ,텔레비전 방송업
052900,KOSDAQ,플라스틱제품 제조업
036560,KOSDAQ,일반 목적용 기계 제조업
061970,KOSDAQ,반도체 제조업
309960,KOSDAQ,기타 금융업
093050,KOSPI,봉제의복 제조업
003550,KOSPI,기타 금융업
034220,KOSPI,전자부품 제조업
051900,KOSPI,기타 화학제품 제조업
064400,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
373220,KOSPI,일차전지 및 이차전지 제조업
032640,KOSPI,전기 통신업
011070,KOSPI,전자부품 제조업
066570,KOSPI,통신 및 방송 장비 제조업
037560,KOSPI,텔레비전 방송업
051910,KOSPI,기초 화학물질 제조업
079550,KOSPI,무기 및 총포탄 제조업
073490,KOSDAQ,통신 및 방송 장비 제조업
225190,KOSDAQ,사진장비 및 광학기기 제조업
006260,KOSPI,기타 금융업
010120,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
091970,KOSDAQ,플라스틱제품 제조업
000680,KOSPI,상품 종합 도매업
060370,KOSDAQ,전기 및 통신 공사업
417200,KOSDAQ,전자부품 제조업
229640,KOSPI,기타 금융업
078020,KOSDAQ,금융 지원 서비스업
322180,KOSDAQ,소프트웨어 개발 및 공급업
108320,KOSPI,반도체 제조업
001120,KOSPI,상품 중개업
108670,KOSPI,플라스틱제품 제조업
383800,KOSPI,기타 금융업
476080,KOSDAQ,"영화, 비디오물, 방송프로그램 제작 및 배급업"
009810,KOSPI,기타 전문 도매업
086960,KOSDAQ,소프트웨어 개발 및 공급업
023150,KOSPI,알코올음료 제조업
123010,KOSDAQ,전자부품 제조업
035420,KOSPI,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
036570,KOSPI,소프트웨어 개발 및 공급업
160550,KOSDAQ,"영화, 비디오물, 방송프로그램 제작 및 배급업"
053290,KOSDAQ,"서적, 잡지 및 기타 인쇄물 출판업"
181710,KOSPI,소프트웨어 개발 및 공급업
060250,KOSDAQ,금융 지원 서비스업
104200,KOSDAQ,기타 정보 서비스업
054050,KOSDAQ,작물 재배업
400760,KOSPI,부동산 임대 및 공급업
005940,KOSPI,금융 지원 서비스업
338100,KOSPI,부동산 임대 및 공급업
034310,KOSPI,회사 본부 및 경영 컨설팅 서비스업
063570,KOSDAQ,기타 사업지원 서비스업
030190,KOSPI,기타 정보 서비스업
008260,KOSPI,1차 철강 제조업
004250,KOSPI,플라스틱제품 제조업
456040,KOSPI,기초 화학물질 제조업
010060,KOSPI,기타 금융업
178920,KOSPI,플라스틱제품 제조업
001340,KOSPI,기초 화학물질 제조업
024940,KOSDAQ,생활용품 도매업
005490,KOSPI,1차 철강 제조업
332570,KOSDAQ,전자부품 제조업
218410,KOSDAQ,통신 및 방송 장비 제조업
327260,KOSDAQ,전자부품 제조업
474610,KOSDAQ,기타 금속 가공제품 제조업
091340,KOSDAQ,전자부품 제조업
010950,KOSPI,석유 정제품 제조업
419530,KOSDAQ,"영화, 비디오물, 방송프로그램 제작 및 배급업"
019550,KOSDAQ,신탁업 및 집합투자업
034120,KOSPI,텔레비전 방송업
003080,KOSPI,"비료, 농약 및 살균, 살충제 제조업"
246960,KOSDAQ,의료용품 및 기타 의약 관련제품 제조업
099220,KOSDAQ,기계장비 및 관련 물품 도매업
056190,KOSDAQ GLOBAL,특수 목적용 기계 제조업
222080,KOSDAQ GLOBAL,특수 목적용 기계 제조업
036540,KOSDAQ,반도체 제조업
255220,KOSDAQ,기타 비금속 광물제품 제조업
040610,KOSDAQ,자동차 신품 부품 제조업
184230,KOSDAQ,소프트웨어 개발 및 공급업
016250,KOSDAQ,건물 건설업
005090,KOSPI,전기업
001380,KOSPI,자동차 신품 부품 제조업
004060,KOSPI,상품 종합 도매업
001770,KOSPI,1차 철강 제조업
002360,KOSPI,기초 화학물질 제조업
009160,KOSPI,1차 철강 제조업
033530,KOSPI,자동차 신품 부품 제조업
123700,KOSPI,자동차 신품 부품 제조업
025530,KOSPI,자동차 부품 및 내장품 판매업
034730,KOSPI,기타 금융업
357880,KOSDAQ,소프트웨어 개발 및 공급업
011790,KOSPI,기타 화학제품 제조업
018670,KOSPI,기타 전문 도매업
001740,KOSPI,기타 전문 도매업
006120,KOSPI,기타 금융업
210980,KOSPI,부동산 임대 및 공급업
395400,KOSPI,부동산 임대 및 공급업
302440,KOSPI,기초 의약물질 제조업
326030,KOSPI,자연과학 및 공학 연구개발업
402340,KOSPI,기타 금융업
260870,KONEX,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
361610,KOSPI,일차전지 및 이차전지 제조업
100090,KOSPI,1차 철강 제조업
096770,KOSPI,석유 정제품 제조업
475150,KOSPI,건물 건설업
001510,KOSPI,금융 지원 서비스업
285130,KOSPI,합성고무 및 플라스틱 물질 제조업
017670,KOSPI,전기 통신업
000660,KOSPI,반도체 제조업
048550,KOSDAQ,광고업
063440,KOSDAQ,기록매체 복제업
003570,KOSPI,자동차 신품 부품 제조업
064960,KOSPI,자동차 신품 부품 제조업
100840,KOSPI,일반 목적용 기계 제조업
036530,KOSPI,기타 금융업
067160,KOSDAQ GLOBAL,소프트웨어 개발 및 공급업
000390,KOSPI,기타 화학제품 제조업
011810,KOSPI,상품 종합 도매업
465770,KOSPI,해상 운송업
077970,KOSPI,일반 목적용 기계 제조업
002820,KOSPI,플라스틱제품 제조업
289080,KOSDAQ,기타 금융업
002170,KOSPI,"가죽, 가방 및 유사제품 제조업"
041930,KOSDAQ,고무제품 제조업
