Symbol,Name,DelistingDate,Reason
035480,제이테크놀로지,2019-12-12,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
017680,데코앤이,2019-11-20,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지
225650,쿠첸,2019-09-16,타법인의 완전자회사로 편입
026180,현대정보기술,2019-07-17,피흡수합병
065160,에프티이앤이,2019-05-03,감사의견 거절(감사범위 제한)
123100,원익테라세미콘,2019-02-20,피흡수합병
194610,우성아이비,2018-10-12,감사의견거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
155960,지디,2018-10-12,감사의견 거절(감사범위 제한)
032040,C&S자산관리,2018-10-11,감사의견거절(범위제한 및 계속기업 존속능력에 대한 불확실성)
081970,넥스지,2018-10-11,감사의견거절(감사범위제한)
047440,레이젠,2018-10-11,감사의견거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
026260,위너지스,2018-10-11,감사의견거절(감사범위 제한)
052290,트레이스,2018-10-11,감사의견거절(감사범위 제한)
016170,카카오M,2018-09-18,피흡수합병
043580,에임하이,2018-08-10,감사의견거절(감사범위 제한)
130960,CJ E&M,2018-07-18,피흡수합병
090730,SIMPAC Metal,2018-07-17,피흡수합병
024660,하림홀딩스,2018-07-16,피흡수합병
099660,신텍,2018-07-09,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지
087220,스틸플라워,2018-05-08,감사의견거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
099830,씨그널엔터테인먼트그룹,2018-05-04,감사의견거절(감사범위 제한)
051170,썬코어,2018-03-15,'16사업연도 감사의견거절(계속기업 존속능력에 대한 불확실성) 및 '17사업연도 반기 감사의견거절(계속기업 존속능력에 대한 불확실성)
039790,위노바,2018-03-09,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
036490,SK머티리얼즈,2021-12-27,피흡수합병
045890,GV,2021-12-20,해산사유 발생(파산선고)
031390,녹십자셀,2021-11-17,피흡수합병
087730,이엠네트웍스,2021-10-08,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
033110,코너스톤네트웍스,2021-10-08,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
039230,에이아이비트,2021-10-06,감사의견 거절(감사범위 제한)
213090,미래테크놀로지,2021-10-05,피흡수합병
111820,지유온,2021-09-30,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
141070,맥스로텍,2021-09-16,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지
080440,에스제이케이,2021-09-13,해산사유 발생(파산선고)
033430,디에스티,2021-09-02,감사의견 한정(감사범위 제한)
086250,이노와이즈,2021-08-31,감사의견 거절(감사범위 제한)
038160,팍스넷,2021-08-23,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
033600,럭슬,2021-08-11,감사의견 거절(감사범위 제한)
065620,제낙스,2021-08-09,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
043290,케이맥,2021-07-20,피흡수합병
028150,GS홈쇼핑,2021-07-16,피흡수합병
226350,아이엠텍,2021-06-11,감사의견 거절(감사범위 제한)
195440,퓨전,2021-06-10,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
008800,행남사,2021-06-07,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
073070,에이팸,2021-06-04,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당
102210,에이치디,2021-04-19,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
023890,한국아트라스비엑스,2021-04-19,피흡수합병
028040,미래SCI,2021-04-13,"최근 2년간 3회 이상 공시규정 제19조제1항의 규정에 의한 사업보고서, 반기보고서 또는 분기보고서 법정제출기한 내 미제출"
036260,이매진아시아,2021-02-15,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당
