Symbol,Name,Market,SecuGroup,Kind,ListingDate,DelistingDate,Reason,ArrantEnforceDate,ArrantEndDate,Industry,ParValue,ListingShares,ToSymbol,ToName
21098018,SK디앤디 6R,KOSPI,신주인수권증서,보통주,2018-12-05,2018-12-12,,,,,0.0,4089295.0,,
00151018,SK증권 39R,KOSPI,신주인수권증서,보통주,2018-11-16,2018-11-23,,,,,0.0,92858489.0,,
00532019,국동 24R,KOSPI,신주인수권증서,보통주,2019-05-31,2019-06-10,,,,,0.0,13496530.0,,
00290019,동양물산 22R,KOSPI,신주인수권증서,보통주,2019-10-08,2019-10-16,,,,,0.0,49993316.0,,
00897018,동양철관 39R,KOSPI,신주인수권증서,보통주,2018-11-22,2018-11-29,,,,,0.0,29980611.0,,
01850018,동원금속 18R,KOSPI,신주인수권증서,보통주,2018-02-22,2018-03-02,,,,,0.0,8637103.0,,
01116019,두산건설 46R,KOSPI,신주인수권증서,보통주,2019-04-18,2019-04-25,,,,,0.0,267721411.0,,
03402019,두산중공업 36R,KOSPI,신주인수권증서,보통주,2019-04-19,2019-04-26,,,,,0.0,67963474.0,,
09220019,디아이씨6R,KOSPI,신주인수권증서,보통주,2019-07-24,2019-07-31,,,,,0.0,11921493.0,,
03235018,롯데관광개발 8R,KOSPI,신주인수권증서,보통주,2018-09-19,2018-10-01,,,,,0.0,17484363.0,,
00503018,부산주공 23R,KOSPI,신주인수권증서,보통주,2018-06-04,2018-06-12,,,,,0.0,10397248.0,,
00136018,삼성제약 33R,KOSPI,신주인수권증서,보통주,2018-05-24,2018-05-31,,,,,0.0,11188529.0,,
01014018,삼성중공업 15R,KOSPI,신주인수권증서,보통주,2018-03-27,2018-04-03,,,,,0.0,191920651.0,,
00052018,삼일제약 17R,KOSPI,신주인수권증서,보통주,2018-06-26,2018-07-03,,,,,0.0,795385.0,,
01123017,삼화전자공업 11R,KOSPI,신주인수권증서,보통주,2017-12-26,2018-01-04,,,,,0.0,4557086.0,,
29394018,신한알파리츠 4R,KOSPI,신주인수권증서,보통주,2019-01-07,2019-01-14,,,,,0.0,9520745.0,,
01526018,에이엔피 33R,KOSPI,신주인수권증서,보통주,2018-01-25,2018-02-01,,,,,0.0,27275030.0,,
00306019,에이프로젠제약 87R,KOSPI,신주인수권증서,보통주,2019-07-08,2019-07-15,,,,,0.0,106886967.0,,
00263019,오리엔트바이오 28R,KOSPI,신주인수권증서,보통주,2019-01-09,2019-01-16,,,,,0.0,52184842.0,,
09572018,웅진씽크빅 7R,KOSPI,신주인수권증서,보통주,2018-12-21,2019-01-02,,,,,0.0,33594377.0,,
08100019,일진다이아몬드 5R,KOSPI,신주인수권증서,보통주,2019-07-17,2019-07-24,,,,,0.0,2333891.0,,
00622018,제주은행 27R,KOSPI,신주인수권증서,보통주,2018-10-19,2018-10-26,,,,,0.0,7997826.0,,
00507019,코스모신소재 35R,KOSPI,신주인수권증서,보통주,2019-10-07,2019-10-15,,,,,0.0,7590502.0,,
00542019,코스모화학 27R,KOSPI,신주인수권증서,보통주,2019-11-18,2019-11-25,,,,,0.0,7988771.0,,
03182018,콤텍시스템 6R,KOSPI,신주인수권증서,보통주,2018-02-22,2018-03-02,,,,,0.0,12796294.0,,
03182019,콤텍시스템 7R,KOSPI,신주인수권증서,보통주,2019-09-23,2019-09-30,,,,,0.0,15994447.0,,
09008019,평화산업 5R,KOSPI,신주인수권증서,보통주,2019-07-16,2019-07-23,,,,,0.0,18700000.0,,
00918018,한솔로지스틱스 16R,KOSPI,신주인수권증서,보통주,2018-10-17,2018-10-24,,,,,0.0,8794338.0,,
00471019,한솔테크닉스 37R,KOSPI,신주인수권증서,보통주,2019-06-13,2019-06-20,,,,,0.0,7992165.0,,
26726019,현대일렉트릭 5R,KOSPI,신주인수권증서,보통주,2019-11-25,2019-12-02,,,,,0.0,12529034.0,,
00954018,현대중공업 6R,KOSPI,신주인수권증서,보통주,2018-02-21,2018-02-28,,,,,0.0,9954041.0,,
09324019,형지엘리트 11R,KOSPI,신주인수권증서,보통주,2019-01-11,2019-01-18,,,,,0.0,11996246.0,,
00328017,흥아해운 14R,KOSPI,신주인수권증서,보통주,2018-01-02,2018-01-09,,,,,0.0,32790924.0,,
00503217,부산주공 2WR,KOSPI,신주인수권증권,보통주,2017-02-14,2019-12-26,신주인수권증권 행사기간 및 행사의 만료,,,,0.0,1557659.0,005030,부산주공
09037215,메타랩스 5WR,KOSPI,신주인수권증권,보통주,2016-01-05,2019-11-18,신주인수권증권 행사기간 및 행사의 만료,,,,0.0,2638197.0,090370,메타랩스
01120215,현대상선 1WR,KOSPI,신주인수권증권,보통주,2017-03-24,2019-08-12,신주인수권증권 행사기간 및 행사의 만료,,,,0.0,10780904.0,011200,HMM
