Symbol,Name,Market,SecuGroup,Kind,ListingDate,DelistingDate,Reason,ArrantEnforceDate,ArrantEndDate,Industry,ParValue,ListingShares,ToSymbol,ToName
079660,사조해표,KOSPI,주권,보통주,2004-09-21,2019-06-26,해산 사유 발생,,,음식료·담배,5000.0,7160000.0,,
002250,알보젠코리아,KOSPI,주권,보통주,1973-11-10,2019-05-20,지주회사(최대주주등)의 완전자회사화 등,,,제약,5000.0,11857922.0,,
004987,성신양회2우B,KOSPI,주권,신형우선주,1999-03-15,2019-05-10,존속기간 만료,,,비금속,5000.0,220693.0,004980,성신양회
004989,성신양회3우B,KOSPI,주권,신형우선주,2001-02-01,2019-05-10,존속기간 만료,,,비금속,5000.0,286898.0,004980,성신양회
000030,우리은행,KOSPI,주권,보통주,2014-11-19,2019-02-13,지주회사(최대주주등)의 완전자회사화 등,,,은행,5000.0,676000000.0,,
004130,대덕GDS,KOSPI,주권,보통주,1987-08-10,2018-12-19,해산 사유 발생,,,전기·전자,500.0,20575613.0,,
004135,대덕GDS우,KOSPI,주권,구형우선주,1988-10-21,2018-12-19,해산 사유 발생,,,전기·전자,500.0,2160000.0,,
002000,한국유리,KOSPI,주권,보통주,1969-06-27,2018-12-13,신청에 의한 상장폐지,2018-12-04,2018-12-12,비금속,5000.0,10079660.0,,
002005,한국유리우,KOSPI,주권,구형우선주,1989-12-20,2018-12-13,신청에 의한 상장폐지,2018-12-04,2018-12-12,비금속,5000.0,454767.0,,
192530,광주은행,KOSPI,주권,보통주,2014-05-22,2018-10-26,지주회사(최대주주등)의 완전자회사화 등,,,은행,5000.0,51316057.0,,
005980,성지건설,KOSPI,주권,보통주,1995-03-17,2018-10-04,감사의견 의견거절,2018-09-19,2018-10-02,건설,5000.0,14209379.0,,
013367,일성건설2우B,KOSPI,주권,신형우선주,2007-06-29,2018-05-11,존속기간 만료,,,건설,500.0,621240.0,013360,일성건설
008000,도레이케미칼,KOSPI,주권,보통주,1977-06-30,2018-03-20,지주회사(최대주주등)의 완전자회사화 등,,,화학,5000.0,46363851.0,,
144620,코오롱머티리얼,KOSPI,주권,보통주,2012-04-05,2021-11-05,지주회사(최대주주등)의 완전자회사화 등,,,화학,1000.0,68658635.0,,
033660,우리금융캐피탈,KOSPI,주권,보통주,2009-06-25,2021-08-27,지주회사(최대주주등)의 완전자회사화 등,,,기타금융,5000.0,57545890.0,,
005190,동성화학,KOSPI,주권,보통주,1988-07-01,2021-04-16,해산 사유 발생,,,화학,1000.0,5335564.0,,
152330,코리아오토글라스,KOSPI,주권,보통주,2015-12-29,2020-12-18,해산 사유 발생,,,비금속,5000.0,20000000.0,,
003415,쌍용양회우,KOSPI,주권,구형우선주,1992-04-23,2020-12-03,신청에 의한 상장폐지,,,비금속,1000.0,1543685.0,,
