ticker,ksic
000010,64121
000020,212
000030,64121
000040,319
000050,47119
000060,65121
000070,64992
000080,11122
000100,212
000110,64121
000120,493
000140,64992
000150,26221
000180,71531
0001A0,352
000210,20111
000220,212
000230,212
000240,64992
000250,212
000270,30121
000300,303
000320,64992
000360,41221
000370,65121
000380,41221
000390,20411
000400,65121
000420,28201
000430,303
000440,46712
000470,65121
000480,2321
000490,29210
0004V0,259
0004Y0,649
000500,28302
000520,212
000540,65121
000590,64992
000610,65121
000640,64992
000650,49220
000660,2612
000670,24213
000680,46800
000700,715
000720,41221
000760,467
000790,50112
0007C0,58222
0007J0,70113
000800,41112
000810,65121
000830,467
000850,29223
000860,20411
000880,20494
000890,11122
0008Z0,28123
000910,23311
000950,13101
000970,24131
000990,2611
0009K0,70113
001000,681
001020,171
001040,64992
001060,212
001070,132
001080,24123
0010F0,2221
0010V0,27199
001120,4610
001130,105
001140,49301
001150,20202
001190,13109
0011A0,289
0011T0,28119
001200,66121
001210,28410
001230,649
001250,468
001260,41221
001270,66121
001280,66121
001290,66121
001300,20202
001310,41112
001340,20131
001360,212
001370,1419
001380,303
001390,201
0013V0,10211
001420,303
001430,2411
001440,28302
001450,65121
001460,14120
001470,41221
001490,46417
001500,66121
001510,66121
001520,23322
001530,46103
001540,212
001550,20312
001560,23992
001570,201
001580,28410
001590,13212
0015G0,273
0015N0,20423
0015S0,739
001600,41221
001620,303
001630,212
001670,13212
001680,108
001720,66121
001740,467
001750,66121
001770,24199
001780,24222
001790,105
0017J0,29299
001800,649
001810,171
001820,26291
001830,2612
001840,411
001880,411
001890,33201
001940,241
001950,1710
001970,41221
001980,41221
002000,64992
002020,64992
002030,715
002070,14120
002100,2032
002140,10520
002150,72121
002170,15110
002200,1721
002210,212
002220,2419
002230,27214
002240,2411
002250,21212
002270,10422
002290,411
002300,1710
002310,172
002320,49309
002350,221
002360,201
002380,20411
002390,212
002410,411
002420,477
002450,33201
002460,41112
002480,13213
002530,41112
002540,10895
002550,65121
002600,108
002620,715
002630,212
002670,24121
002680,105
002690,24122
002700,46521
002710,24191
002720,212
002760,2049
002780,41221
002790,20423
002800,212
002810,46739
002820,22232
002840,204
002850,06200
002860,64121
002870,467
002880,303
002900,29210
002920,303
002930,46413
002950,41221
002960,19221
002990,41112
003000,212
