종목코드,회사명,시장구분,상장일
0197V0,엔에이치스팩34호,코스닥,2026-09-10
386380,스카이랩스,코스닥,2026-09-04
0220W0,한화머시너리앤서비스홀딩스,유가,2026-08-25
0155E0,해치텍,코스닥,2026-08-25
417030,니어스랩,코스닥,2026-08-24
282620,기도산업,코스닥,2026-08-21
950260,인제니아테라퓨틱스,코스닥,2026-08-18
487400,케이앤에스아이앤씨,코스닥,2026-08-13
483350,딜리셔스,코스닥,2026-08-12
238540,나노솔루션,코넥스,2026-07-28
0218L0,네오뷰,코스닥,2026-07-27
0156T0,에이치엘지노믹스,코스닥,2026-07-24
0203K0,송우인포텍,코넥스,2026-07-21
387690,레메디,코스닥,2026-07-13
365660,레몬헬스케어,코스닥,2026-07-06
0039P0,매드업,코스닥,2026-07-01
475040,스트라드비젼,코스닥,2026-06-30
0164H0,한국제16호스팩,코스닥,2026-06-30
153890,져스텍,코스닥,2026-06-29
0165X0,메리츠제2호스팩,코스닥,2026-06-19
0017J0,세미티에스,코스닥,2026-06-10
0117P0,피스피스스튜디오,코스닥,2026-06-08
0134X0,대신밸런스제20호스팩,코스닥,2026-06-05
477850,마키나락스,코스닥,2026-05-20
288180,케이피항공산업,코스닥,2026-05-19
487580,폴레드,코스닥,2026-05-14
439960,코스모로보틱스,코스닥,2026-05-11
0129K0,신한제18호스팩,코스닥,2026-04-30
0011T0,채비,코스닥,2026-04-29
0070X0,에스테크엠,코넥스,2026-04-27
0131D0,키움히어로제2호스팩,코스닥,2026-04-23
0010F0,보원케미칼,코스닥,2026-04-03
0132G0,교보20호스팩,코스닥,2026-04-02
0007J0,인벤테라,코스닥,2026-04-02
0130D0,신한제17호스팩,코스닥,2026-04-01
394420,리센스메디컬,코스닥,2026-03-31
0130H0,엔에이치스팩33호,코스닥,2026-03-27
0088M0,메쥬,코스닥,2026-03-26
408470,한패스,코스닥,2026-03-25
493280,아이엠바이오로직스,코스닥,2026-03-20
0082N0,카나프테라퓨틱스,코스닥,2026-03-16
0011A0,액스비스,코스닥,2026-03-09
458350,에스팀,코스닥,2026-03-06
279570,케이뱅크,유가,2026-03-05
0001A0,덕양에너젠,코스닥,2026-01-30
0001A0,덕양에너젠,코스닥,2026-01-30
0115H0,삼성스팩13호,코스닥,2026-01-21
0004V0,엔비알모션,코스닥,2026-01-14
493330,지에프아이,코스닥,2026-01-14
012210,삼미금속,코스닥,2025-12-29
490470,세미파이브,코스닥,2025-12-29
491000,리브스메드,코스닥,2025-12-24
0097F0,미래에셋비전스팩10호,코스닥,2025-12-23
0099W0,미래에셋비전스팩11호,코스닥,2025-12-22
0013V0,삼진식품,코스닥,2025-12-22
