ticker,shares,equity,as_of
000020,27931470,403193972894,20260415
000030,716000000,29082405000000,20260415
000040,86375184,41447509315,20260415
000050,27415270,838736071979,20260415
000060,104535112,6677422864405,20260415
000070,7763191,1897520547923,20260415
000080,70133611,1129738658293,20260415
000100,79968437,2270070076532,20260415
000120,22812344,3903796867756,20260415
000140,23206765,1001690201577,20260415
000150,16193835,4168378000000,20260415
000180,69751600,349835615954,20260415
0001A0,17940195,109333913330,20260415
000210,20955884,3515672581404,20260415
000220,17032351,123274896466,20260415
000230,11540400,203157646949,20260415
000240,94935240,2716026189922,20260415
000250,23457472,257487397710,20260415
000270,390412998,40374553000000,20260415
000300,41437055,31124991579,20260415
000320,13291151,353509386862,20260415
000370,116738915,3153920105000,20260415
000390,27203469,302348975441,20260415
000400,310336320,993546000000,20260415
000430,62000000,497043713000,20260415
000440,6227130,49368430014,20260415
000480,46890490,507111243000,20260415
000490,28826865,342738003250,20260415
0004V0,10404468,33151469623,20260415
0004Y0,5315000,10472371702,20260415
000500,16543115,748849744000,20260415
000520,21691811,153514248667,20260415
000540,64242645,1096435000000,20260415
000590,1154482,168996652473,20260415
000640,6536434,712249832202,20260415
000650,1429220,6435044420,20260415
000660,728002365,252073179000000,20260415
000670,18077950,1258745626123,20260415
000680,78803016,957807446996,20260415
000700,26041812,241254257497,20260415
000720,111355765,9483022000000,20260415
000760,2800000,66848197227,20260415
0007C0,8030324,41946845281,20260415
0007J0,6650314,29926664623,20260415
000810,46011155,35345534163030,20260415
000850,2200000,304245649028,20260415
000860,13000000,246113450527,20260415
000880,74958735,3616785000000,20260415
000890,138120129,91622705250,20260415
0008Z0,9436564,174581615248,20260415
000910,15611619,169567730610,20260415
000950,1680000,227724991033,20260415
000970,22800500,276543357580,20260415
000990,43504588,2343389381178,20260415
0009K0,64156161,204439698490,20260415
001000,24277540,13919034943,20260415
001020,177983313,269886551371,20260415
001040,29176998,2990684285000,20260415
001060,23285930,417561273965,20260415
001070,5300000,152791325034,20260415
001080,4150000,188570901745,20260415
0010F0,9684692,33859529642,20260415
0010V0,5105400,65237524010,20260415
001120,38760000,3015764771567,20260415
001130,1690000,800121064856,20260415
001140,15856388,236637871,20260415
0011A0,6964740,55060007090,20260415
001200,96866418,1133281386257,20260415
001210,61553997,14425679788,20260415
001230,31800483,678167705753,20260415
001250,82533764,461270726000,20260415
001260,9832572,129954956000,20260415
001270,10369886,805472597970,20260415
001290,108337120,205210684203,20260415
001340,44918407,222817734639,20260415
001360,94162079,72260737702,20260415
001380,44964143,148608540561,20260415
001390,67233030,243927474751,20260415
0013V0,9918656,43326226598,20260415
001420,7600000,39727102276,20260415
001430,35862119,1663146971096,20260415
001440,186447300,1820292954220,20260415
001450,89400000,6205032990904,20260415
001460,6246150,562019517871,20260415
001470,229681824,66059477745,20260415
001500,61833044,1458503000000,20260415
001510,472590171,641002000000,20260415
001520,238684063,695709587281,20260415
001530,19729280,543816094432,20260415
001540,13042420,171869210920,20260415
001550,5192239,61706511663,20260415
001560,9800000,83247091545,20260415
001570,63967196,415782116792,20260415
0015G0,11702541,67095367665,20260415
0015N0,12715050,45629931658,20260415
0015S0,9662730,63353291733,20260415
001620,111293031,250651715850,20260415
001630,5009861,399272516216,20260415
001680,34648025,1138087641548,20260415
001720,16440000,1866528152105,20260415
001740,221277902,1807056000000,20260415
001750,12728534,669459570866,20260415
001770,1214878,54617466810,20260415
001780,96830132,260802209055,20260415
001790,89696580,459631840000,20260415
001800,62645422,1812375939441,20260415
001810,22137500,159146283749,20260415
001820,10395000,248014271008,20260415
001840,22283636,13517595826,20260415
001880,22053284,1022185089027,20250415
001940,14176380,547776787683,20260415
002000,98839,532964225496,20210415
002020,12907680,759023575521,20260415
002030,2072646,408480227000,20260415
002070,45196077,81426678553,20260415
002100,19522575,278251466866,20260415
002140,24939425,105980591727,20260415
002150,33720000,273608966920,20260415
002170,3000000,442518624987,20260415
002200,40000000,262851414138,20260415
002210,26619507,87490627158,20260415
002220,26697460,155460353071,20260415
002230,19273820,147185924281,20260415
002240,27000000,1292880329710,20260415
002250,11857922,221354727283,20200414
002270,1209055,780938343082,20220415
002290,12400000,73402194835,20260415
002300,5004949,433443474242,20200414
002310,40482510,743333142767,20260415
002320,15235010,1437142768543,20260415
002350,97667877,1910903735620,20260415
002360,111133730,66264964893,20260415
002380,8886471,11804379044190,20260415
002390,13763533,326734167378,20260415
002410,27479820,466481123,20260415
002420,5969948,24275202475,20260415
002450,90530915,225828189336,20260415
002460,10150000,433204187647,20260415
002600,600000,146631194752,20260415
002620,15973355,296384018675,20260415
002630,118583005,72268082394,20260415
002680,32316799,14294543533,20260415
002690,20300360,156614335757,20260415
002700,71047521,85024020150,20260415
002710,26213697,189824954540,20260415
002720,21159832,98028407237,20260415
002760,59900000,49684959892,20260415
002780,145471745,251134616980,20260415
002790,79458180,2178510605351,20260415
002800,15170500,79285319640,20260415
002810,18466948,453797802360,20260415
002820,12607989,226756927127,20260415
002840,4750000,421174061798,20260415
002870,34958700,79400719452,20260415
002880,46773995,64937594861,20260415
002900,41400000,473191236892,20260415
002920,25947500,122501115650,20260415
002960,1300000,122964671821,20260415
002990,36996760,286655572202,20260415
003000,98664671,338828309347,20260415
003010,12712747,135783188107,20260415
003030,4141657,756798221397,20260415
003060,198407845,206916279352,20260415
003070,25423959,735065341583,20260415
003080,20020000,149205881859,20260415
003090,58141980,522393581795,20260415
0030R0,59780000,296765576337,20260415
003100,6600000,417309389858,20260415
003120,13300000,379769677716,20260415
003160,28300000,215658738190,20260415
003200,22960000,631844989077,20260415
003220,22427583,286785705425,20260415
003230,7533015,1410916632043,20260415
003240,1113400,3476114041824,20260415
003280,240424899,248352691053,20260415
003300,30832884,849752256956,20260415
003310,35392350,112330402459,20260415
003350,4532000,121901459345,20260415
003380,112005621,1565541000000,20260415
003410,444022554,1932713772579,20260415
003460,56702415,534916664988,20260415
003470,199596576,1949796823000,20260415
003480,29529812,353584000000,20260415
003490,368220661,11071072579789,20260415
003520,182892731,86157317663,20260415
003530,214547775,2267366000000,20260415
003540,50773400,4593725009000,20260415
003550,154221585,10305356000000,20260415
003560,7083730,94768891365,20260415
003570,33252697,917348491923,20260415
003580,50663505,67152801754,20260415
003610,40202158,179712630611,20260415
003620,202374912,1564637850692,20260415
003650,1739672,575749619570,20260415
003670,88946220,3875173694312,20260415
003680,6209515,71524123632,20260415
003690,194821031,3985122665589,20260415
003720,34000000,95975830975,20260415
003780,13000000,56284665725,20260415
0037T0,6330000,12499502185,20260415
003800,11090000,761985110399,20260415
003830,1328000,728447974223,20260415
003850,85787207,891614524447,20260415
003920,6000000,805089081376,20260415
003960,9164467,582655883489,20260415
004000,25800000,2300206665920,20260415
004020,133445785,19375533556064,20260415
004060,202424960,262147533330,20260415
004080,9500000,114677939010,20260415
004090,12694120,218314318553,20260415
004100,36700000,175214019477,20260415
004140,47971766,172748038980,20260415
004150,41026620,471971566287,20260415
004170,9645181,5221877026572,20260415
0041B0,5040000,9651483170,20260415
0041J0,4110000,8274015588,20260415
0041L0,6030000,11626843294,20260415
004200,15219444,177265775887,20200414
004250,36720000,395668390750,20260415
004270,36212160,118755092256,20260415
004310,32000000,128048741093,20260415
004360,19115603,666952642301,20260415
004370,6082642,2427525697764,20260415
004380,20700000,148728004561,20260415
004410,390175136,26663834890,20260415
004430,24000000,679948000000,20260415
004440,12731947,270026985516,20260415
004450,2154379,117771511195,20260415
004490,14000000,1649332669276,20260415
0044K0,7520000,14735830512,20260415
004540,37240693,142729572330,20260415
004560,15078811,534949428791,20260415
004590,15000000,110953040990,20260415
004650,9190885,147124321721,20260415
004690,4055025,1569030713578,20260415
004700,6649138,612137465193,20260415
004710,32109878,317781805843,20260415
004720,21954502,140039476635,20260415
004770,35507438,85040456021,20260415
004780,15903199,160960463217,20260415
004800,16740407,2726103343016,20260415
004830,15680000,97237847907,20260415
004840,19930000,201722206687,20260415
004870,113163494,60476370710,20260415
004890,2425215,389669067977,20260415
004910,12800000,219727795001,20260415
004920,52179872,68604826920,20260415
004960,11570702,868563319217,20260415
004970,16000000,625815792179,20260415
004980,24516073,596345286397,20260415
004990,104909237,5077233702575,20260415
005010,56188075,875949975565,20260415
005030,78782988,21781565289,20260415
005070,32510756,540548914602,20260415
005090,14409333,669560461961,20260415
005110,21106407,3643634556,20260415
005160,54244482,360459213543,20260415
