b,ticker,entry,market,amt20,reprt,r5,r10,r20,r40
+50%↑,032500,20190502,KOSDAQ,58.5,11013,12.11,25.58,74.66,78.77
+50%↑,005670,20190502,KOSDAQ,5.8,11013,4.48,5.86,2.25,-2.79
흑자전환,043200,20190507,KOSDAQ,11.6,11013,-4.19,-2.38,7.86,1.83
적자지속,094170,20190507,KOSDAQ,21.0,11013,-6.7,-16.88,-1.02,8.84
+50%↑,241790,20190508,KOSDAQ,14.3,11013,-0.76,-10.88,-12.15,-2.45
+0~50,022220,20190508,KOSDAQ,2.3,11013,2.93,7.8,6.18,7.8
+0~50,004710,20190508,KOSPI,9.6,11013,-0.56,5.71,13.19,17.79
+50%↑,145270,20190508,KOSPI,2.8,11013,-2.55,-2.44,-4.27,-2.1
+0~50,067390,20190508,KOSDAQ,36.7,11013,-0.88,1.64,-10.96,-17.94
-50%↓,093520,20190508,KOSDAQ,57.8,11013,-7.84,-13.58,-14.71,-16.59
흑자전환,217190,20190509,KOSDAQ,5.5,11013,-3.43,-16.26,-4.85,-3.43
흑자전환,204840,20190509,KOSDAQ,6.6,11013,-15.6,-19.05,-26.24,-30.32
-50%↓,002870,20190509,KOSPI,1.4,11013,-5.96,-4.86,-5.59,5.44
흑자전환,094860,20190509,KOSDAQ,2.7,11013,-9.01,-7.07,-13.31,-8.36
-0~50,006380,20190509,KOSPI,5.5,11013,-11.13,-16.86,-14.26,-7.34
+50%↑,238490,20190509,KOSDAQ,5.6,11013,-17.43,-9.14,33.2,31.04
흑자전환,015590,20190509,KOSPI,13.8,11013,-4.25,-5.13,-7.77,-6.45
적자전환,066970,20190510,KOSPI,56.3,11013,-5.14,-9.62,-0.85,-0.85
+50%↑,178320,20190510,KOSDAQ,189.1,11013,6.05,13.78,8.43,2.29
흑자전환,049630,20190510,KOSDAQ,10.6,11013,6.06,1.53,11.94,9.23
적자지속,018620,20190510,KOSDAQ,152.8,11013,-9.08,-0.64,16.41,-3.24
적자지속,115530,20190510,KOSDAQ,0.0,11013,-1.48,-1.48,-1.48,-1.48
+0~50,179900,20190510,KOSDAQ,59.9,11013,-1.6,1.16,18.03,5.45
적자지속,138610,20190510,KOSDAQ,11.4,11013,-7.73,-18.04,-22.45,-32.22
+0~50,215200,20190510,KOSDAQ,22.2,11013,-0.37,-3.04,-9.15,-17.67
흑자전환,005690,20190510,KOSPI,74.7,11013,-5.72,-12.29,-15.72,-22.77
적자지속,024950,20190513,KOSDAQ,3.7,11013,-4.72,-10.42,6.22,-0.09
-0~50,099220,20190513,KOSDAQ,18.1,11013,-1.18,-3.54,0.85,-9.96
흑자전환,000520,20190513,KOSPI,30.8,11013,-8.44,-15.56,-15.56,-17.18
+50%↑,046120,20190513,KOSDAQ,33.0,11013,0.57,-4.5,8.77,-0.64
적자지속,060280,20190513,KOSDAQ,2.6,11013,-9.99,-9.69,-6.8,2.47
-50%↓,263700,20190513,KOSDAQ,9.4,11013,-9.97,-12.81,-5.72,-16.21
적자지속,012340,20190513,KOSDAQ,1.5,11013,-8.02,-9.56,-2.53,-8.11
+50%↑,100840,20190513,KOSPI,1.4,11013,-5.29,-8.65,-6.03,13.83
적자전환,020760,20190513,KOSPI,41.8,11013,-16.28,-20.64,-10.0,-12.46
-50%↓,216050,20190513,KOSDAQ,125.4,11013,-6.07,-0.08,0.92,-18.24
-0~50,024060,20190513,KOSDAQ,400.6,11013,-5.74,-3.84,-14.95,-7.64
적자지속,261200,20190513,KOSDAQ,0.8,11013,-0.72,0.95,0.24,1.19
+50%↑,089980,20190513,KOSDAQ,42.9,11013,1.23,-11.15,0.63,0.63
+0~50,092730,20190513,KOSDAQ,27.8,11013,-2.84,-8.31,-0.1,-4.99
-0~50,035200,20190513,KOSDAQ,1.5,11013,0.23,-1.64,3.95,-1.95
흑자전환,003570,20190513,KOSPI,2.0,11013,0.59,-4.31,-3.49,-4.85
흑자전환,008470,20190513,KOSDAQ,6.7,11013,-7.56,-8.74,-5.87,-11.28
적자지속,073570,20190513,KOSDAQ,0.0,11013,-1.48,-1.48,-1.09,5.01
-0~50,213420,20190513,KOSDAQ,46.4,11013,-7.7,-11.27,1.39,-0.88
+0~50,064960,20190513,KOSPI,19.8,11013,1.83,4.82,25.91,30.32
+50%↑,051160,20190513,KOSDAQ,46.5,11013,-6.5,-5.64,-11.26,-17.85
적자지속,115450,20190513,KOSDAQ,12.2,11013,-0.48,-2.58,8.98,-7.13
+50%↑,089790,20190513,KOSDAQ,16.8,11013,-15.32,-20.06,-19.11,-32.39
적자지속,208640,20190513,KOSDAQ,28.7,11013,-5.15,-15.34,-13.16,-22.35
+50%↑,035610,20190513,KOSDAQ,2.3,11013,-3.01,-6.49,-5.16,-13.55
-0~50,002780,20190513,KOSPI,45.0,11013,-7.35,-5.05,17.24,-4.85
+50%↑,071200,20190513,KOSDAQ,15.2,11013,-3.67,-4.45,-2.58,-9.72
흑자전환,017960,20190513,KOSPI,37.4,11013,-5.27,-9.74,-1.62,-3.62
+50%↑,089230,20190514,KOSDAQ,40.7,11013,-8.2,-1.29,-4.95,-19.17
+50%↑,207760,20190514,KOSDAQ,2.8,11013,3.83,3.3,19.67,115.63
+50%↑,237880,20190514,KOSDAQ,56.7,11013,-2.36,-5.01,19.99,5.81
+0~50,002450,20190514,KOSPI,15.4,11013,-5.33,-9.08,-8.84,-11.18
적자전환,002760,20190514,KOSPI,26.1,11013,4.47,4.47,10.73,-5.83
흑자전환,174900,20190514,KOSDAQ,46.9,11013,1.69,4.07,-6.57,-23.36
-50%↓,033130,20190514,KOSDAQ,2.7,11013,43.52,57.47,69.05,42.2
적자전환,054180,20190514,KOSDAQ,218.3,11013,20.12,13.9,5.96,-11.09
흑자전환,091970,20190514,KOSDAQ,13.1,11013,-11.03,-15.22,-7.75,-14.22
흑자전환,033100,20190514,KOSDAQ,7.7,11013,5.66,1.28,11.83,5.83
+50%↑,036530,20190514,KOSPI,1.2,11013,-3.82,-8.73,3.73,11.27
+0~50,090410,20190514,KOSDAQ,3.7,11013,2.42,-3.1,-1.8,5.01
-50%↓,007770,20190514,KOSDAQ,3.2,11013,-0.59,2.96,11.41,5.19
-0~50,147830,20190514,KOSDAQ,3.5,11013,3.19,-0.19,7.86,-1.32
+0~50,054670,20190514,KOSDAQ,17.9,11013,-0.27,3.82,17.0,0.64
-50%↓,036580,20190514,KOSPI,37.7,11013,-8.24,-10.07,-11.5,-27.54
흑자전환,018290,20190514,KOSDAQ,45.0,11013,4.18,10.2,20.2,19.36
-0~50,024840,20190514,KOSDAQ,8.2,11013,-2.54,-6.27,-2.01,-9.46
+0~50,038390,20190514,KOSDAQ,1.5,11013,-0.05,-2.05,-2.34,-4.62
+0~50,200670,20190514,KOSDAQ,7.1,11013,-0.68,6.32,6.52,-2.68
적자지속,090080,20190514,KOSPI,2.4,11013,0.18,-3.25,-14.21,-5.27
-0~50,039010,20190514,KOSDAQ,2.6,11013,-3.08,-2.68,0.83,-4.49
+0~50,003800,20190514,KOSDAQ,2.3,11013,-4.74,-5.36,-5.36,-3.5
+0~50,032580,20190514,KOSDAQ,19.4,11013,-4.56,-17.12,-17.85,-20.75
+0~50,082920,20190514,KOSDAQ,11.7,11013,0.68,0.2,5.33,-0.72
흑자전환,054540,20190514,KOSDAQ,13.7,11013,-0.43,-1.63,0.62,0.62
적자지속,270520,20190514,KOSDAQ,0.1,11013,-1.18,-3.13,-1.03,1.23
+50%↑,088910,20190515,KOSDAQ,26.4,11013,-2.1,-2.83,21.32,0.95
+50%↑,066670,20190515,KOSDAQ,3.0,11013,-1.74,-1.74,-0.95,4.57
-50%↓,077360,20190515,KOSDAQ,1.6,11013,15.72,15.94,19.17,15.08
+50%↑,035150,20190515,KOSPI,29.6,11013,5.26,-0.68,-0.18,-17.31
+50%↑,002390,20190515,KOSPI,23.0,11013,-4.58,-8.48,-6.35,-15.93
-50%↓,195870,20190515,KOSPI,31.0,11013,-2.0,-3.66,6.27,-11.94
+50%↑,161890,20190515,KOSPI,76.8,11013,-6.28,-8.16,-6.71,-16.13
흑자전환,211270,20190515,KOSDAQ,0.7,11013,1.94,3.87,2.98,1.79
-50%↓,045100,20190515,KOSDAQ,34.8,11013,-5.06,-6.96,-2.4,-10.77
-50%↓,042110,20190515,KOSDAQ,11.0,11013,0.11,1.09,6.59,-9.92
-0~50,228850,20190515,KOSDAQ,3.0,11013,-0.47,-7.52,-2.82,-3.49
+0~50,119500,20190515,KOSDAQ,3.9,11013,-1.17,-6.02,-4.77,-4.45
+50%↑,148250,20190515,KOSDAQ,7.5,11013,7.37,-2.63,13.9,-0.33
적자지속,049470,20190515,KOSDAQ,1.1,11013,-9.43,-7.11,-6.67,-7.77
적자지속,130740,20190515,KOSDAQ,2.4,11013,0.24,-4.93,-4.58,-8.72
+50%↑,097520,20190515,KOSPI,58.1,11013,0.22,-0.48,19.94,11.82
-0~50,200780,20190515,KOSDAQ,3.0,11013,-1.0,-4.44,-7.15,-14.29
적자지속,043360,20190515,KOSDAQ,5.3,11013,-4.52,-6.89,-4.35,-6.72
-50%↓,084370,20190515,KOSDAQ,34.3,11013,-7.88,-14.11,-10.61,-11.77
-0~50,044780,20190515,KOSDAQ,2.3,11013,27.19,16.95,21.39,17.29
+50%↑,088130,20190515,KOSDAQ,6.6,11013,3.1,-1.01,8.98,3.69
-50%↓,026890,20190515,KOSPI,189.5,11013,-0.55,-5.74,1.52,-10.59
+0~50,014130,20190515,KOSPI,277.6,11013,-3.75,-1.84,4.01,-4.19
+0~50,007570,20190515,KOSPI,9.8,11013,-0.04,-3.27,2.05,-5.36
+0~50,065710,20190515,KOSDAQ,24.6,11013,0.47,-5.38,1.6,7.23
+0~50,008930,20190515,KOSPI,25.5,11013,-2.84,-1.69,3.07,-29.61
-0~50,012800,20190515,KOSPI,351.0,11013,-17.95,-29.57,-24.16,-29.03
-0~50,094850,20190515,KOSDAQ,4.1,11013,-4.3,-7.5,-2.63,-11.34
+50%↑,068760,20190515,KOSDAQ,49.2,11013,-3.55,-5.92,-1.27,-18.56
+50%↑,126600,20190515,KOSDAQ,1.5,11013,3.65,3.38,2.64,9.37
흑자전환,075580,20190515,KOSPI,7.8,11013,-2.54,-5.27,-1.56,-7.62
적자전환,026910,20190515,KOSDAQ,3.8,11013,-0.61,-4.68,1.43,1.14
+0~50,004090,20190515,KOSPI,0.2,11013,1.07,-2.51,4.21,-0.28
적자지속,099520,20190515,KOSDAQ,3.5,11013,15.32,-0.47,15.32,2.37
+0~50,040420,20190515,KOSDAQ,2.4,11013,1.36,-2.77,-1.22,-5.61
+50%↑,171090,20190515,KOSDAQ,3.9,11013,-5.06,-11.81,-2.94,4.75
+0~50,134380,20190515,KOSPI,0.4,11013,-2.36,-2.6,-2.83,-5.08
-0~50,006140,20190515,KOSDAQ,0.4,11013,-1.38,-6.89,-6.09,-5.79
-50%↓,036200,20190515,KOSDAQ,117.5,11013,-1.73,-7.88,1.19,-2.25
적자지속,002420,20190515,KOSPI,16.4,11013,1.93,-2.13,-4.21,-10.21
-0~50,052330,20190515,KOSDAQ,6.8,11013,-2.82,-3.16,-4.16,-8.86
-0~50,102120,20190515,KOSDAQ,131.2,11013,-10.9,-18.22,-9.91,-22.32
-50%↓,005860,20190515,KOSDAQ,197.5,11013,-1.41,-6.05,2.3,-11.62
+0~50,074430,20190515,KOSDAQ,13.4,11013,-14.7,-19.85,-10.62,-18.78
-0~50,241690,20190515,KOSDAQ,1.9,11013,-30.68,-36.31,-28.72,-33.49
흑자전환,094940,20190515,KOSDAQ,23.0,11013,0.68,3.38,15.01,4.16
적자지속,101730,20190515,KOSDAQ,3.6,11013,-1.98,-5.89,-5.22,15.94
적자전환,187270,20190515,KOSDAQ,3.0,11013,-0.34,-12.28,-5.46,-10.57
+0~50,089140,20190515,KOSDAQ,4.8,11013,-8.25,-5.08,-4.62,-10.5
-0~50,023450,20190515,KOSPI,0.3,11013,1.34,-0.34,1.34,7.43
적자지속,215480,20190515,KOSDAQ,25.0,11013,15.94,2.14,9.91,2.57
+50%↑,047310,20190515,KOSDAQ,111.5,11013,-2.86,14.28,29.52,9.04
적자지속,115440,20190515,KOSDAQ,7.4,11013,4.03,11.6,22.11,8.52
흑자전환,056700,20190515,KOSDAQ,13.7,11013,9.85,8.82,41.91,75.58
+50%↑,004150,20190515,KOSPI,4.3,11013,-1.16,-3.19,8.65,12.71
-0~50,059090,20190515,KOSDAQ,54.4,11013,3.59,8.19,10.92,-5.46
