ticker,ratio
003410,0.2191
003415,0.2064
003560,44.4004
004200,1.9493
005980,10.2796
008040,10.1064
008500,0.2274
010620,0.5478
016385,4.4175
030790,19.9187
033180,10.9117
049770,0.1976
091090,2.7092
093230,10.6546
096300,0.1883
099340,0.1779
102280,8.6034
152550,0.0127
168490,0.2272
210980,1.5157
008800,11.2254
011370,5.1982
014200,6.1134
017680,7.8938
019590,7.5255
024810,8.8645
026260,19.6715
030270,23.9982
032980,4.4239
036180,2.1347
039230,3.024
039670,8.7763
043090,21.1249
043290,0.201
044060,0.1769
048260,8.4792
050540,9.8535
052190,10.7739
052670,0.5156
053110,20.2625
054340,10.4049
054630,7.955
057880,4.7707
058220,2.4631
058420,7.1484
058530,10.25
060240,13.153
060300,2.8845
065560,2.9021
065620,5.1054
066110,2.4574
072520,3.3933
073070,4.9573
078650,19.7281
078940,2.4767
080440,5.0213
087730,2.9987
089530,8.9928
090410,5.066
101390,8.992
102210,0.1953
106520,16.1451
111870,9.4724
114120,86.934
114570,2.3479
134780,0.6711
136510,0.251
138580,0.4875
138690,2.7492
141020,33.9973
142760,1.9791
148140,4.4084
150840,0.5234
158310,3.5069
160600,5.1139
174880,5.0327
181340,0.5119
195440,9.5754
197210,5.341
203690,5.5664
204630,20.9189
207760,0.2053
214870,2.4694
217620,10.0234
220630,10.4795
221610,1.6083
222810,22.231
226350,25.4902
226360,8.0524
230360,0.2525
230980,0.3707
263540,2.9601
269620,0.3772
900280,0.4274
