market,ticker,from,to,days,ratio
KOSPI,000880,20260806,20260824,12,0.833
KOSPI,001470,20260102,20260901,163,0.06
KOSPI,006740,20260806,20260827,15,0.2
KOSPI,008040,20260102,20260901,163,0.1
KOSPI,012280,20260806,20260827,15,0.2
KOSPI,027970,20260806,20260813,6,0.2
KOSPI,091810,20260102,20260828,161,0.2
KOSPI,417310,20260102,20260827,160,4.774
KOSDAQ,002680,20260604,20260709,26,0.2
KOSDAQ,006050,20260604,20260826,58,0.1
KOSDAQ,007720,20260604,20260713,28,0.188
KOSDAQ,008470,20260604,20260721,33,2.001
KOSDAQ,008830,20260604,20260731,41,1.3
KOSDAQ,009730,20260604,20260716,31,0.113
KOSDAQ,011370,20260102,20260831,162,0.2
KOSDAQ,013720,20260604,20260727,37,0.205
KOSDAQ,019570,20260604,20260730,40,0.101
KOSDAQ,020180,20260604,20260818,52,0.2
KOSDAQ,021880,20260604,20260708,25,0.067
KOSDAQ,023760,20260604,20260826,58,0.5
KOSDAQ,025440,20260604,20260702,21,0.2
KOSDAQ,031860,20260604,20260813,50,0.1
KOSDAQ,032860,20260102,20260828,161,0.2
KOSDAQ,032960,20260604,20260710,27,5.0
KOSDAQ,033170,20260604,20260825,57,0.2
KOSDAQ,033540,20260604,20260813,50,0.2
KOSDAQ,033830,20260604,20260702,21,0.2
KOSDAQ,034940,20260604,20260826,58,0.2
KOSDAQ,036800,20260604,20260814,51,5.0
KOSDAQ,038880,20260604,20260625,16,0.2
KOSDAQ,042040,20260604,20260625,16,0.125
KOSDAQ,043200,20260604,20260826,58,0.5
KOSDAQ,049080,20260604,20260626,17,0.1
KOSDAQ,051360,20260604,20260724,36,1.607
KOSDAQ,054940,20260604,20260811,48,0.2
KOSDAQ,058400,20260604,20260727,37,0.1
KOSDAQ,060230,20260604,20260703,22,0.2
KOSDAQ,060570,20260604,20260824,56,0.2
KOSDAQ,062970,20260604,20260806,45,0.5
KOSDAQ,065150,20260604,20260721,33,0.501
KOSDAQ,065420,20260102,20260831,162,0.1
KOSDAQ,065650,20260604,20260608,3,0.5
KOSDAQ,066360,20260604,20260827,59,0.5
KOSDAQ,066790,20260604,20260803,42,0.677
KOSDAQ,066910,20260604,20260608,3,0.2
KOSDAQ,067390,20260604,20260827,59,0.1
KOSDAQ,079190,20260604,20260722,34,0.518
KOSDAQ,083660,20260604,20260825,57,0.135
KOSDAQ,090150,20260604,20260814,51,0.1
KOSDAQ,090410,20260102,20260828,161,0.2
KOSDAQ,097780,20260604,20260615,8,0.402
KOSDAQ,101000,20260604,20260814,51,0.366
KOSDAQ,105550,20260604,20260811,48,0.2
KOSDAQ,113810,20260604,20260727,37,0.2
KOSDAQ,123010,20260604,20260724,36,0.5
KOSDAQ,131100,20260604,20260820,54,0.2
KOSDAQ,142760,20260102,20260828,161,0.5
KOSDAQ,148780,20260604,20260803,42,0.199
KOSDAQ,153490,20260604,20260819,53,0.2
KOSDAQ,177350,20260604,20260814,51,0.5
KOSDAQ,183300,20260604,20260820,54,2.495
KOSDAQ,195990,20260604,20260729,39,0.5
KOSDAQ,200230,20260604,20260629,18,0.12
KOSDAQ,204840,20260604,20260810,47,0.2
KOSDAQ,208640,20260604,20260629,18,0.114
KOSDAQ,210120,20260604,20260819,53,0.467
KOSDAQ,219750,20260604,20260624,15,0.2
KOSDAQ,245620,20260604,20260611,6,0.56
KOSDAQ,246690,20260604,20260629,18,0.5
KOSDAQ,250930,20260604,20260722,34,0.2
KOSDAQ,252500,20260102,20260831,162,0.2
KOSDAQ,276730,20260604,20260820,54,4.998
KOSDAQ,277410,20260604,20260710,27,0.1
KOSDAQ,286750,20260102,20260828,161,0.5
KOSDAQ,290660,20260604,20260624,15,0.5
KOSDAQ,291230,20260604,20260813,50,0.2
KOSDAQ,291650,20260604,20260811,48,0.5
KOSDAQ,300120,20260604,20260819,53,0.2
KOSDAQ,327260,20260604,20260723,35,1.996
KOSDAQ,335870,20260604,20260827,59,0.2
KOSDAQ,336060,20260604,20260805,44,0.2
KOSDAQ,340570,20260604,20260805,44,1.976
KOSDAQ,348080,20260604,20260721,33,0.114
KOSDAQ,348340,20260604,20260804,43,1.5
KOSDAQ,354200,20260604,20260720,32,0.408
KOSDAQ,356860,20260604,20260715,30,1.989
KOSDAQ,359090,20260604,20260629,18,0.2
KOSDAQ,368970,20260604,20260618,11,1.501
KOSDAQ,369370,20260604,20260806,45,0.2
KOSDAQ,377220,20260604,20260807,46,0.2
KOSDAQ,403490,20260604,20260826,58,0.2
KOSDAQ,446840,20260604,20260716,31,0.2
KOSDAQ,476830,20260604,20260626,17,2.0
KOSDAQ,494120,20260604,20260714,29,1.999
KOSDAQ,900070,20260604,20260611,6,0.5
KOSDAQ,900100,20260604,20260622,13,0.1
KOSDAQ,900110,20260604,20260615,8,0.333
KOSDAQ,900120,20260604,20260625,16,0.267
KOSDAQ,900250,20260604,20260622,13,0.25
KOSDAQ,900270,20260604,20260824,56,0.2
KOSDAQ,900300,20260604,20260623,14,0.02
KOSDAQ,900310,20260604,20260609,4,0.2
KOSDAQ,950220,20260604,20260609,4,0.2
