rid,name,buy_date,sell_date,qty,buyp,sellp,pl,ret,stopped
P5,신원,20200224,20200309,10101,1485.0,1545.0,468726.80399999954,3.124848484848486,False
P4,태경비케이,20200302,20200309,2506,3590.0,3460.0,-384741.1679999996,-4.276545961002776,False
P5,현대엘리베이터,20200227,20200312,405,37013.0,34346.0,-1132993.4940000009,-7.558195228703434,False
P5,디와이,20200302,20200316,3260,4600.0,3305.0,-4348836.74,-28.999978260869565,False
P4,S-Oil,20200309,20200316,158,56900.0,56000.0,-175822.40000000037,-1.9557117750439446,False
P4,금호건설,20200311,20200318,1275,7060.0,6001.0,-1417556.2200000007,-15.748000000000006,True
P4,넥센타이어,20200312,20200319,1741,5150.0,4377.5,-1411989.3020000001,-15.748000000000006,True
P4,DB손해보험,20200312,20200319,298,30000.0,25500.0,-1369876.2000000002,-15.322999999999997,True
P6,현대위아,20200312,20200319,441,27100.0,24390.0,-1246738.7520000003,-10.432000000000007,True
P6,효성중공업,20200312,20200319,845,14150.0,12735.0,-1290372.460000001,-10.792000000000012,True
P3,코오롱인더,20200221,20200320,410,36500.0,23450.0,-5396649.6,-36.06180821917808,False
P6,대동,20200313,20200320,3027,3950.0,3555.0,-1290361.6679999996,-10.792000000000002,True
P3,부산산업,20200224,20200323,136,110000.0,70300.0,-5464213.4399999995,-36.525490909090905,False
P3,인디에프,20200224,20200323,1754,8550.0,4830.0,-6599432.016000001,-44.00589473684211,False
P4,PKC,20200316,20200323,3622,2438.0,2072.2999999999997,-1353087.7082800018,-15.32300000000002,True
P6,삼일제약,20200316,20200323,2085,5647.0,5082.3,-1270649.5404000003,-10.792000000000002,True
P4,현대건설,20200318,20200325,382,22962.0,19517.7,-1344054.4933199994,-15.322999999999997,True
P4,동화약품,20200319,20200326,1722,5010.0,5900.0,1443173.7599999998,16.728143712574848,False
P4,DL,20200319,20200326,192,44819.0,54488.0,1816693.5551999994,21.11146076440795,False
P5,디아이,20200313,20200327,6643,2250.0,2325.0,315974.2949999999,2.1139999999999937,False
P6,대동,20200320,20200327,3790,2965.0,3705.0,2681030.84,23.85821247892075,False
P7,DB하이텍,20200102,20200330,424,28300.0,21050.0,-3107915.76,-25.901024734982325,False
P7,한솔케미칼,20200102,20200330,114,104500.0,75800.0,-3313277.76,-27.812287081339715,False
P7,GS,20200102,20200330,240,50000.0,37150.0,-3126796.8000000007,-26.05664000000001,False
P4,삼양홀딩스,20200323,20200330,362,22054.0,26491.0,1521804.2703999989,19.06175387684772,False
P4,한국앤컴퍼니,20200325,20200401,908,8750.0,8600.0,-204917.4400000004,-2.5792000000000037,False
P7,한진칼,20200107,20200402,296,40500.0,72400.0,9360964.48,78.08612345679013,False
P5,동성제약,20200319,20200402,2146,6700.0,10100.0,7192361.919999998,50.02268656716418,False
