,외인 매집,조용한 신고가,조정매집,폭락반등,업종붕괴 이탈,깊은 이격,자사주 낙폭,낙폭과대,저PBR 낙폭
2005,0.0,0.0,0.0,0.0,0.0,0.0,-1103359.490382393,0.0,0.0
2006,-8076725.518597735,2007486.0999466071,14229363.673524998,0.0,3538493.289576801,10072861.390258694,36235480.89112314,0.0,0.0
2007,66149245.21265527,846494.0338595427,0.0,0.0,0.0,-3027003.688232114,32501842.38883762,0.0,0.0
2008,-43001516.8561391,63353.11720390548,18790235.824885022,20687675.301758528,-26772374.97683833,-1220587.0320491022,-4236583.663637503,7298490.570640094,0.0
2009,16362007.249187283,-3909948.737979039,0.0,0.0,15428539.711387822,-2812179.7033068547,8389276.596157426,0.0,0.0
2010,16512485.919623177,-6736075.0647623325,873856.0292407575,0.0,11429137.727829022,-5503310.298604743,927680.2160804211,0.0,0.0
2011,-9032872.01452654,-5509942.8715754105,8279078.666793074,-6079165.89567792,17360265.015773814,12261661.092620244,29043787.4672554,0.0,17873256.751543216
2012,8809723.458274838,-1387685.7470044198,0.0,9098389.009255227,1512805.665574173,0.0,10349841.426306494,508183.4359336908,-1789488.0812951268
2013,-10035701.3887961,-3177850.5051559894,4271824.150611886,0.0,0.0,0.0,11767531.46228844,0.0,15649851.957582869
2014,26620235.613693755,0.0,-6133586.087742002,0.0,0.0,0.0,41724322.22674556,0.0,0.0
2015,88792695.1450845,0.0,-2491694.527098282,27043977.400677845,8433112.75835517,4326604.330965743,8940228.413788503,30095352.375115335,52317764.198723905
2016,5030192.363661754,0.0,-19858176.603643782,8993958.162779586,-1084573.1246436718,1835090.1406378525,17909352.56452133,3510128.7907387787,0.0
2017,1875400.2141142194,0.0,-3931061.5572475637,26894.771100463517,0.0,0.0,379761.795484241,0.0,-4354386.4215063015
2018,-3599232.3041173564,0.0,10471550.53381942,-3601256.296949405,24852151.189523637,42490642.404320166,12594385.267217217,38999585.87412201,50562541.487659626
2019,33197430.754833613,0.0,14917313.442215264,12274353.12147436,0.0,3193336.1473356127,-24313050.11469107,47240595.77906876,-6216428.579403313
2020,78963283.58322373,1918312.0419125871,3033540.384972272,-10138796.80240932,33596303.441238426,21429451.019164026,34469264.93479746,61121572.75044854,56985752.05494719
2021,250749855.961562,32871690.03566735,22135588.85785044,987563.521569778,4814068.847262027,13728023.514315063,8348752.799695551,0.0,0.0
2022,5030172.05147494,0.0,87843244.0041167,20466551.059884064,-10669186.339311896,19088068.543752655,50923517.84342246,36423050.655247785,18850649.543856595
2023,254460320.4834403,0.0,17124793.620945755,10836110.852637062,0.0,0.0,12406217.542440867,0.0,20189746.15046317
2024,167500090.83133516,40254074.71334208,88516953.40972233,-3222778.22776913,0.0,0.0,146960025.70184067,42351866.96872165,54399642.08291228
2025,250991768.9206902,-3649951.580010631,11792814.887002364,24426429.944677573,0.0,0.0,0.0,0.0,-11691583.826366311
2026,678617185.6850231,0.0,-19477915.115750812,25150638.894993592,543345.8740052826,-2301960.90865687,106071133.88013096,101447947.78907022,0.0
