ticker,edate,surprise
ABOS,20250812,-31.13
ABSI,20250812,-15.07
ACCS,20250812,64.71
ADCT,20250812,-4.89
AEON,20250812,-71.43
AII,20250812,87.28
ALCO,20250812,-119.01
ALT,20250812,15.77
ALXO,20250812,-43.1
ANTA,20250812,49.89
ANTX,20250812,32.26
ANVS,20250812,17.95
APRE,20250812,25.35
ARMP,20250812,25.3
ATEX,20250812,336.84
ATOS,20250812,-23.53
AUTL,20250812,23.37
AVXL,20250812,-10.34
BCAX,20250812,6.83
BEEP,20250812,2.45
BKV,20250812,162.8
BRTX,20250812,26.83
BSIN,20250812,-191.5
BTAI,20250812,-56.72
BWEN,20250812,-500.0
CAE,20250812,2.8
CAH,20250812,2.36
CAI,20250812,-411.18
CALC,20250812,-14.29
CAVA,20250812,15.64
CLPT,20250812,-5.0
CLYM,20250812,29.73
COYA,20250812,16.92
CRBU,20250812,16.67
CRCL,20250812,-450.36
CRWV,20250812,-29.81
CTOR,20250812,46.67
CTXR,20250812,-280.95
CUE,20250812,30.77
DDI,20250812,-14.29
DERM,20250812,-52.38
DMAC,20250812,5.26
DRIO,20250812,-98.0
ECC,20250812,-12.87
ECG,20250812,74.58
ECO,20250812,82.42
EDIT,20250812,15.32
EPRX,20250812,-40.54
ERAS,20250812,-5.91
ESLA,20250812,-25.0
ETOR,20250812,-39.16
FATE,20250812,15.76
FLD,20250812,26.34
FTHM,20250812,-221.0
GAIN,20250812,10.62
GANX,20250812,-11.76
GCTS,20250812,-85.71
GRAL,20250812,10.76
GRCE,20250812,5.99
GUTS,20250812,-58.33
HRB,20250812,-19.86
HUYA,20250812,49.17
HYFM,20250812,-686.57
HYLN,20250812,11.11
ICMB,20250812,-61.91
IDN,20250812,50.0
IHS,20250812,121.43
INO,20250812,1.29
INTA,20250812,17.93
IPM,20250812,-345.33
JRSH,20250812,-70.0
KAPA,20250812,-60.0
KEEL,20250812,-100.0
KLC,20250812,-13.92
KOPN,20250812,-166.0
KRRO,20250812,-5.61
KSCP,20250812,22.8
KYTX,20250812,7.15
LAZR,20250812,-26.07
LCTX,20250812,-358.88
LITE,20250812,8.86
LQDA,20250812,-24.84
LWAY,20250812,55.56
LYEL,20250812,19.35
MAZE,20250812,33.33
MBOT,20250812,-25.0
MBRX,20250812,-21.49
MCHX,20250812,300.0
MDAI,20250812,-287.5
MGX,20250812,13.01
MIST,20250812,-11.11
MLYS,20250812,10.64
MNPR,20250812,27.59
MPTI,20250812,-11.67
MREO,20250812,-65.78
MSGS,20250812,85.71
