ticker,filed,equity,liab,shares
SID,20100601,3316000000.0,,1534067000000.0
LPL,20100609,8554065000.0,8392278000.0,357815700.0
ALC,20110202,7252000000.0,,302390266.0
B,20110331,15063000000.0,11528000000.0,903000000.0
BBDO,20110520,52832000000.0,568780000000.0,31172072.0
KB,20110705,15033199000.0,207603446000.0,343028989.0
ITUB,20110713,76625000000.0,656879000000.0,2288034273.0
SHG,20110715,20162187000.0,218312749000.0,474199587.0
WF,20110720,12354619000.0,228802760000.0,806012779.0
DXR,20120328,36216591.0,49508270.0,4202351.0
VALE,20130402,74241000000.0,,
APWC,20130430,161717000.0,154773000.0,13828869.0
JXG,20140515,2136800.0,3634107.0,2310500.0
BLX,20150423,911063000.0,7114209000.0,38839000.0
GFI,20160413,2554900000.0,2876800000.0,771416491.0
FORTY,20160516,451557000.0,504166000.0,14728782.0
FMS,20170222,10808722000.0,14235794000.0,306221840.0
GRVY,20170428,25467000.0,20849000.0,6948900.0
HIMX,20180328,456648000.0,343486000.0,344207492.0
ALP,20180730,9619000.0,,280720000.0
FENG,20210428,250689000.0,169897000.0,
KRKR,20210429,58363000.0,29052000.0,
SONY,20210622,5575839000000.0,20725185000000.0,1250692000.0
MATH,20220311,9535528.0,3699300.0,19308371.0
NAAS,20220513,-13987000.0,18798000.0,113030392.0
FRO,20220909,1906943000.0,2458631000.0,203530979.0
DDI,20241112,815531000.0,64241000.0,2477672.0
AMBR,20250429,13023000.0,35215000.0,
IBG,20250515,2619109.0,2336264.0,8161571.0
AUC,20250606,8409902.0,278073.0,17317452.0
EZGO,20250630,55046466.0,21274484.0,5675172.0
HDB,20250714,89861800000.0,463125100000.0,7652221674.0
PMEC,20250724,14889000.0,26521000.0,38417987.0
GAUZ,20250813,17860000.0,118946000.0,18743137.0
PDC,20250827,519020.0,816607.0,15076900.0
SVRN,20250904,74067000.0,,304448.0
AURE,20250919,5679797.0,,
EDU,20250925,3661873000.0,3851767000.0,1580288613.0
TMDE,20250929,21586668.0,102329040.0,23565000.0
VFS,20250930,-7184711320.0,,2338812676.0
BVC,20251017,9731000.0,158000.0,
CLPS,20251017,55536785.0,60524434.0,27988452.0
HAO,20251020,17376430.0,4218884.0,2397036.0
GLE,20251021,8064297.0,1328379.0,16000000.0
MRM,20251021,242797000.0,7497637000.0,
GMHS,20251023,33226337.0,14099786.0,
GLXG,20251024,3452175.0,1533286.0,1600000.0
IZM,20251024,15421659.0,25816813.0,
MGIH,20251028,24909948.0,11337136.0,11250000.0
MAAS,20251029,88795000.0,164425000.0,
DSY,20251030,173432.0,9861443.0,86972928.0
EJH,20251030,265894713.0,10235113.0,4003859.0
LRE,20251030,5030713000.0,15449121000.0,13641900.0
RGC,20251031,4860274.0,895308.0,494488908.0
PC,20251031,8128225.0,1446524.0,20000000.0
SUPX,20251031,19828396.0,32222751.0,22169854.0
HERE,20251031,112931000.0,101703000.0,
BUUU,20251031,1008715.0,1495694.0,15000000.0
ENGS,20251103,2043755.0,12338270.0,14250000.0
STAK,20251105,12899746.0,13854759.0,
HUBG,20251105,1702416000.0,,60321.0
LBGJ,20251107,7877975.0,20020097.0,18748000.0
ZNB,20251112,23322124.0,12498979.0,
STFS,20251112,6410328.0,5782227.0,10000000.0
ITP,20251113,152049536.0,23648656.0,16965420.0
GMEX,20251114,9189958.0,2205551.0,
AAME,20251114,109488000.0,321367000.0,20397228.0
CTW,20251117,16636785.0,,
HPAI,20251117,17465371.0,19716183.0,37430968.0
ACCL,20251117,2111347.0,,
CPOP,20251117,15308932.0,26909583.0,2873764.0
BTTC,20251128,-3947.0,3947.0,1.0
GMM,20260109,62120786.0,16072307.0,
HCHL,20260114,601972.0,6370513.0,
SUGP,20260116,11069089.0,5113373.0,
JEM,20260116,6551829.0,3334740.0,
ZTG,20260120,-116702.0,,
GDHG,20260121,180650211.0,10797086.0,793805.0
HTCO,20260123,7876877.0,19757720.0,
BON,20260123,57550680.0,27187876.0,
OST,20260126,6999814.0,42286411.0,
YAAS,20260128,8190253.0,2588833.0,9311589.0
EEIQ,20260128,8807672.0,11356309.0,23396667.0
UPC,20260129,56129510000.0,13173930000.0,563338.0
CNEY,20260130,101972306.0,5342105.0,
CGTL,20260130,18037490.0,251460.0,
ATGL,20260130,3152212.0,1327804.0,16432830.0
UZX,20260130,16336113.0,5015517.0,
PLTS,20260130,289094.0,,1146117.0
WXM,20260130,4760155.0,8938618.0,6900000.0
PASW,20260130,6355106.0,3255025.0,20500000.0
HUDI,20260130,75514305.0,33711230.0,14299182.0
WOK,20260130,18338941.0,11991525.0,
SEED,20260130,-3285000.0,22822000.0,11924349.0
LSE,20260130,45432735.0,23875132.0,17025000.0
DKI,20260130,934994.0,,16000000.0
NTCL,20260202,5781700.0,7831274.0,10000.0
CNI,20260204,21568000000.0,36987000000.0,613300000.0
ZKIN,20260204,24497854.0,38253260.0,6612308.0
ANPA,20260206,5646921.0,2846658.0,12500000.0
FAMI,20260210,124117884.0,23175730.0,5481874.0
INMD,20260210,683198000.0,83231000.0,63358750.0
ZJYL,20260210,29638722.0,23795891.0,156547100.0
AER,20260212,18323280000.0,53348299000.0,166876547.0
AZI,20260212,-39991000.0,37569000.0,
FTS,20260212,23810000000.0,48961000000.0,507300000.0
GSUN,20260213,9279349.0,15127171.0,
