ticker,market,per,pbr,pcr,upjong_per,ev_ebitda,eps,bps,div_yield
000020,KOSPI,7.88,0.36,9.07,35.58,10.86,647.0,14246.0,1.27
000040,KOSPI,0.64,0.26,-2.34,7.9,-16.58,1718.0,4199.0,0.0
000050,KOSPI,4.29,0.26,3.74,7.14,4.59,1909.0,31763.0,1.95
000070,KOSPI,,0.23,2.05,10601.2,4.09,-24252.0,267886.0,5.79
000080,KOSPI,22.81,0.91,4.62,17.65,5.78,661.0,16552.0,4.64
000087,KOSPI,22.81,0.91,4.62,17.65,5.78,661.0,16552.0,4.64
000100,KOSPI,26.41,2.42,59.12,35.58,33.03,2927.0,31931.0,0.78
000105,KOSPI,26.41,2.42,59.12,35.58,33.03,2927.0,31931.0,0.78
000140,KOSPI,,0.3,0.88,17.65,4.87,-107.0,26579.0,4.45
000145,KOSPI,,0.3,0.88,17.65,4.87,-107.0,26579.0,4.45
000150,KOSPI,79.98,9.5,30.19,22.02,15.81,17343.0,145939.0,0.29
000155,KOSPI,79.98,9.5,30.19,22.02,15.81,17343.0,145939.0,0.29
000157,KOSPI,79.98,9.5,30.19,22.02,15.81,17343.0,145939.0,0.29
000180,KOSPI,,0.1,45.93,,365.47,-1173.0,48370.0,0.0
0001A0,KOSDAQ,38.34,1.86,19.86,8.41,22.38,224.0,4607.0,0.0
000210,KOSPI,8.77,0.29,2.4,10601.2,7.09,6229.0,190742.0,12.0
000215,KOSPI,8.77,0.29,2.4,10601.2,7.09,6229.0,190742.0,12.0
000220,KOSPI,5.98,0.48,4.72,35.58,3.98,639.0,7906.0,3.01
000225,KOSPI,5.98,0.48,4.72,35.58,3.98,639.0,7906.0,3.01
000227,KOSPI,5.98,0.48,4.72,35.58,3.98,639.0,7906.0,3.01
000230,KOSPI,3.17,0.39,2.56,35.58,4.43,1877.0,15066.0,1.68
000240,KOSPI,5.81,0.44,9.75,8.13,5.1,4167.0,54762.0,4.55
000250,KOSDAQ,205.92,12.08,373.89,35.58,185.12,758.0,12921.0,0.03
000270,KOSPI,6.7,0.73,5.27,7.9,2.36,18004.0,166439.0,5.63
000300,KOSPI,1281.78,5.61,26.0,8.13,39.94,3.0,749.0,0.0
000320,KOSPI,5.89,0.33,2.74,2.96,1.18,2751.0,49452.0,3.7
000325,KOSPI,5.89,0.33,2.74,2.96,1.18,2751.0,49452.0,3.7
000370,KOSPI,3.92,0.4,1.87,8.5,3.2,2063.0,20260.0,12.0
000390,KOSPI,13.83,0.54,8.45,2.96,10.34,498.0,12833.0,5.08
000400,KOSPI,,0.63,-0.87,8.5,4.25,-47.0,3214.0,12.0
000430,KOSPI,4.11,0.48,2.65,8.13,4.85,1156.0,9878.0,2.32
000440,KOSDAQ,,1.16,157.04,8.41,-193.73,-161.0,11153.0,2.73
