d,t,r
20210901,000100,-1.4446825120234181
20210902,000100,-0.22226570253793565
20210903,000100,-1.7687171151433785
20240221,000150,11.278793969849247
20220303,000880,-2.552593931019817
20211115,000990,0.9815733736762392
20211116,000990,1.8722522522522516
20231128,000990,-0.21443708609271994
20231129,000990,5.685857885615245
20231130,000990,-1.3571986970684042
20250207,000990,14.86591194968553
20250602,000990,9.356065573770502
20250604,000990,8.055178777393316
20221103,001440,1.6435443843461766
20230418,001440,-13.685187743875137
20231214,001440,-2.615611318739994
20250605,001440,19.52
20210401,001510,19.52
20210402,001510,19.52
20210406,001510,19.52
20210715,001820,-6.2164341085271335
20210716,001820,-6.399003115264799
20260504,002020,19.52
20240607,002710,-2.214862385321101
20221129,002900,-3.261732559412986
20221130,002900,-1.428081264108347
20230608,002900,-16.178924731182796
20240222,005070,-7.885518763796914
20210121,005320,-0.04709956709957064
20210122,005320,-4.882515723270439
20200211,005690,-7.930523864959257
20240527,006110,13.330110974106049
20240528,006110,6.5438095238095215
20250701,006340,-6.573749999999999
20251013,006340,-4.279392097264442
20251014,006340,8.653126934984513
20251015,006340,8.176716417910438
20211203,006650,-1.4952284263959421
20250909,007660,3.323703703703698
20250910,007660,0.8296774193548487
20211025,007860,19.52
20230323,008350,-3.5727835051546393
20230324,008350,-5.193114754098358
20250610,008930,14.413617021276606
20220523,009830,19.62
20251028,009830,-12.025594626629797
20251103,009830,-20.822781415653253
20260116,009830,-7.399566996503235
20240527,010060,-5.674805194805197
20201109,010140,19.62
20201110,010140,19.62
20201111,010140,19.62
20201112,010140,19.62
20210326,010140,-1.1526269315673328
20210914,010140,-1.3461835748792312
20210915,010140,-7.466614173228344
20220303,010140,-7.75018425460636
20260108,010140,13.477677902621712
20260109,010140,4.532280701754379
20211227,011210,-5.118760631834749
20211228,011210,-5.935555555555558
20240314,011930,7.616280087527363
20230414,019170,-17.889090909090907
20210615,020150,4.505057471264376
20210715,020150,6.963124165554071
20210511,020560,11.21284467713787
20240902,022100,-6.905285481239806
20210507,025750,-12.46347107438017
20210901,026890,-4.857104377104379
20190916,028050,-3.596147308781869
20190917,028050,-3.0811560693641633
20240926,028670,-7.363116883116881
20240927,028670,-10.765006195786862
20240311,034020,1.034260459634642
20240312,034020,1.7824780829923919
20240313,034020,-1.3969491525423678
20260106,034020,7.031764705882362
20260107,034020,5.502352941176472
20201112,034730,-0.38
20201116,034730,0.30181818181818343
20220221,037270,0.22323488045007656
20250528,037270,11.839999999999996
20250529,037270,14.281904761904753
20230202,042660,7.457198067632845
20260108,042660,7.95976833976835
20260109,042660,3.022366863905315
20250915,042700,4.511304347826098
20250916,042700,2.4369014084507006
20260115,047050,8.141739130434791
20230713,052690,-6.2197959183673515
20260511,064400,19.62
20260512,064400,19.62
20251224,071970,7.394227902023423
20211122,090460,9.447360774818394
20211123,090460,7.693076923076916
20210625,092220,-13.15281105990783
20200212,093370,-21.032999240698555
20210630,093370,19.52
20260223,097230,-5.085882352941182
20211203,097520,3.6620118343195256
20211206,097520,4.346254826254828
20250526,100840,-1.9742528735632177
20250527,100840,-4.374616265750284
20240304,103590,19.52
20210705,128940,-10.216473115046963
20211208,128940,1.7270435574087943
20191223,180640,-13.050157068062827
20211216,207940,-4.787079722628627
20211217,207940,-7.976194569721392
20250109,229640,19.52
20250110,229640,19.52
20250805,229640,-8.87506172839506
20250806,229640,-6.492269938650306
20250807,229640,-7.216353077816493
20250808,229640,-13.523478260869569
20251015,229640,5.1065921787709545
20251016,229640,7.863125734430078
20260123,229640,5.77
20260126,229640,5.606956521739139
20250617,267270,19.52
20210705,272210,-5.643157894736848
20251222,272210,19.62
20251224,272210,19.62
20210121,285130,-0.7330749295615476
20210122,285130,-0.14104966446794898
20210805,285130,19.62
20210806,285130,19.62
20250526,298040,13.020335008375207
20221108,298050,19.52
20221109,298050,11.276569847856157
20230801,323410,-14.6420232172471
20231107,377300,6.077377049180335
20231108,377300,9.640481927710844
20260120,450080,19.62
20260121,450080,19.62
20250828,454910,-0.06304278922346385
20251016,457190,-0.5601801801801783
20251017,457190,3.999562043795615
20251020,457190,1.4381818181818078
