t,nm,d,y,buy,sell20,hi,lo,c,r,ym
000020,동화약품,20200316,2020,5250,7490,7860,4800,0.8799999999999999,41.78666666666667,202003
000070,삼양홀딩스,20181107,2018,51048,57921,60324,48980,0.8799999999999999,12.583798777621073,201811
000150,두산,20240802,2024,142200,144800,157900,122000,0.38,1.4484106891701902,202408
000150,두산,20240805,2024,131300,150000,157900,128000,0.38,13.862193450114237,202408
000150,두산,20260714,2026,1318000,1254000,1389000,889000,0.38,-5.235842185128978,202607
000180,성창기업지주,20181026,2018,10000,10525,11100,9000,1.18,4.069999999999999,201810
000180,성창기업지주,20181029,2018,9000,10625,11100,9000,1.18,16.875555555555557,201810
000210,DL,20240806,2024,44600,44200,49300,43000,0.48,-1.3768609865470878,202408
000210,DL,20240807,2024,44450,43150,49300,42250,0.48,-3.404634420697414,202408
000270,기아,20181025,2018,27100,27500,30050,26950,0.38,1.0960147601476038,201810
000640,동아쏘시오홀딩스,20190805,2019,71230,83213,84723,70382,0.8799999999999999,15.942967850624736,201908
000640,동아쏘시오홀딩스,20220127,2022,88119,96232,99064,86892,0.8799999999999999,8.326867985338009,202201
000860,강남제비스코,20210824,2021,12755,13330,14456,12454,1.18,3.3280360642885123,202108
000860,강남제비스코,20210825,2021,12504,13455,14456,12479,1.18,6.42556621880999,202108
001020,페이퍼코리아,20181005,2018,12050,12430,13845,9240,1.18,1.973526970954368,201810
001060,JW중외제약,20231019,2023,29227,29277,29619,24078,0.48,-0.3089253087898176,202310
001060,JW중외제약,20231020,2023,24372,28345,29521,24078,0.48,15.821493517150824,202310
001060,JW중외제약,20231023,2023,26531,29620,30404,24078,0.48,11.1629836794693,202310
001200,유진투자증권,20241114,2024,3100,2655,3355,2320,0.6799999999999999,-15.03483870967742,202411
001200,유진투자증권,20241128,2024,2765,2475,2820,2320,0.6799999999999999,-11.168245931283902,202411
001200,유진투자증권,20241129,2024,2700,2435,2820,2320,0.6799999999999999,-10.49481481481481,202411
001360,삼성제약,20190729,2019,1734,2439,2953,1485,1.18,39.47743944636677,201907
001360,삼성제약,20190805,2019,1485,2696,2985,1485,1.18,80.36882154882154,201908
001360,삼성제약,20190806,2019,1621,2633,2985,1598,1.18,61.25059839605183,201908
001380,SG글로벌,20210820,2021,4748,4928,5690,4748,1.18,2.611069924178592,202108
001380,SG글로벌,20211005,2021,4047,4307,4898,3957,1.18,5.24451198418581,202110
001380,SG글로벌,20211012,2021,4317,4057,4898,4017,1.18,-7.202700949733606,202110
001380,SG글로벌,20211130,2021,3155,3616,3907,3125,1.18,13.431727416798726,202111
001750,한양증권,20200303,2020,6990,5330,7060,4380,1.18,-24.928211731044343,202003
001750,한양증권,20200304,2020,7000,5360,7060,4380,1.18,-24.60857142857143,202003
001820,삼화콘덴서,20180814,2018,71300,82000,91900,70400,0.38,14.627012622720905,201808
001820,삼화콘덴서,20200313,2020,47200,47350,49000,33000,0.38,-0.06220338983051488,202003
001820,삼화콘덴서,20200316,2020,37300,45400,49000,33000,0.38,21.335817694369968,202003
001820,삼화콘덴서,20200319,2020,35350,49550,51900,34600,0.38,39.78973125884018,202003
001820,삼화콘덴서,20241113,2024,28200,26350,29200,23150,0.8799999999999999,-7.440283687943258,202411
001820,삼화콘덴서,20241115,2024,26850,27200,28200,23150,0.8799999999999999,0.4235381750465592,202411
001820,삼화콘덴서,20241120,2024,26600,27600,28200,23150,0.8799999999999999,2.879398496240607,202411
002020,코오롱,20180703,2018,38050,40950,43300,38050,0.8799999999999999,6.741550591327209,201807
002020,코오롱,20260722,2026,24300,25250,29950,20200,0.6799999999999999,3.229465020576142,202607
002020,코오롱,20260723,2026,27000,24100,29950,20200,0.6799999999999999,-11.42074074074074,202607
002210,동성제약,20200319,2020,6700,11350,11900,6700,0.48,68.92298507462685,202003
