KOSPI: 20250101~ 점프 종목 13개 대조 중
KOSDAQ: 20250101~ 점프 종목 98개 대조 중
  50/98

이음새 종목 103개 · 덮어씀
  시장     종목              시작         끝   일수     우리/실제
  KOSPI  000880    20260806  20260824   12     0.833
  KOSPI  001470    20260102  20260901  163      0.06
  KOSPI  006740    20260806  20260827   15       0.2
  KOSPI  008040    20260102  20260901  163       0.1
  KOSPI  012280    20260806  20260827   15       0.2
  KOSPI  027970    20260806  20260813    6       0.2
  KOSPI  091810    20260102  20260828  161       0.2
  KOSPI  417310    20260102  20260827  160     4.774
  KOSDAQ 002680    20260604  20260709   26       0.2
  KOSDAQ 006050    20260604  20260826   58       0.1
  KOSDAQ 007720    20260604  20260713   28     0.188
  KOSDAQ 008470    20260604  20260721   33     2.001
  KOSDAQ 008830    20260604  20260731   41       1.3
  KOSDAQ 009730    20260604  20260716   31     0.113
  KOSDAQ 011370    20260102  20260831  162       0.2
  KOSDAQ 013720    20260604  20260727   37     0.205
  KOSDAQ 019570    20260604  20260730   40     0.101
  KOSDAQ 020180    20260604  20260818   52       0.2
  KOSDAQ 021880    20260604  20260708   25     0.067
  KOSDAQ 023760    20260604  20260826   58       0.5
  KOSDAQ 025440    20260604  20260702   21       0.2
  KOSDAQ 031860    20260604  20260813   50       0.1
  KOSDAQ 032860    20260102  20260828  161       0.2
  KOSDAQ 032960    20260604  20260710   27       5.0
  KOSDAQ 033170    20260604  20260825   57       0.2
  KOSDAQ 033540    20260604  20260813   50       0.2
  KOSDAQ 033830    20260604  20260702   21       0.2
  KOSDAQ 034940    20260604  20260826   58       0.2
  KOSDAQ 036800    20260604  20260814   51       5.0
  KOSDAQ 038880    20260604  20260625   16       0.2
  KOSDAQ 042040    20260604  20260625   16     0.125
  KOSDAQ 043200    20260604  20260826   58       0.5
  KOSDAQ 049080    20260604  20260626   17       0.1
  KOSDAQ 051360    20260604  20260724   36     1.607
  KOSDAQ 054940    20260604  20260811   48       0.2
  KOSDAQ 058400    20260604  20260727   37       0.1
  KOSDAQ 060230    20260604  20260703   22       0.2
  KOSDAQ 060570    20260604  20260824   56       0.2
  KOSDAQ 062970    20260604  20260806   45       0.5
  KOSDAQ 065150    20260604  20260721   33     0.501
  ... 외 63개
