
============================================================================================================================
[KOSPI] 장기 축 정찰 — 유니버스 대비 초과(2016~) · 중복신호 제거 · 상위5% 절삭 포함
============================================================================================================================
  축                                보유      건수       초과       중앙       절삭    승률       학습       검증      월CI    양수해
  V PBR ≤0.3                      120   1,125    +1.50    -3.57    -4.07   57%    +2.76    +0.29    -1.42   5/11
  V PBR ≤0.3                      250     690    +7.21    -4.30    -3.68   64%    +8.88    +4.87    +0.07   6/10
  V PBR ≤0.5                      120   3,819    +1.27    -4.20    -4.47   50%    +1.59    +0.86    -1.08   7/11
  V PBR ≤0.5                      250   2,137    +3.72    -7.09    -5.72   53%    +5.64    +0.42    -1.32   6/10
  V PBR ≤0.8                      120   7,158    -0.23    -4.97    -5.62   46%    +0.14    -0.88    -1.51   5/11
  V PBR ≤0.8                      250   3,804    -0.67   -10.28    -9.52   46%    -0.13    -1.88    -3.82   4/10
  V PBR ≤1.2                      120   9,832    -0.08    -5.64    -6.22   44%    +0.37    -1.02    -0.95   6/11
  V PBR ≤1.2                      250   5,115    -0.95   -10.22   -10.37   44%    -0.66    -1.66    -2.63   5/10
  V PBR ≥3                        120   2,283    -3.72   -11.23   -12.12   36%    -6.43    +5.34    -5.01   4/11
  V PBR ≥3                        250   1,270    -4.51   -21.34   -19.75   32%    -7.70    +8.62    -8.01   4/10
  V PBR ≤0.5 + PER ≤10            120   2,277    +0.83    -3.51    -4.10   53%    -0.25    +2.11    -1.57   6/11
  V PBR ≤0.5 + PER ≤10            250   1,300    +3.23    -5.81    -5.28   56%    +3.89    +2.24    -4.78   7/10
  V PBR ≤0.8 + PER ≤15            120   4,717    +0.03    -4.42    -5.05   47%    +0.02    +0.05    -1.38   8/11
  V PBR ≤0.8 + PER ≤15            250   2,573    -0.90    -9.88    -9.10   48%    -1.95    +1.24    -4.98   6/10
  F 부채비율 ≤100%                    120   6,242    -1.30    -6.07    -6.74   42%    -0.89    -2.01    -2.80   2/9
  F 부채비율 ≤100%                    250   3,166    -3.31   -11.38   -11.45   39%    -3.88    -2.14    -4.52   2/8
  F 부채비율 ≤50%                     120   3,337    -1.90    -5.98    -7.14   42%    -1.83    -2.01    -3.05   3/9
  F 부채비율 ≤50%                     250   1,697    -4.47   -11.54   -12.15   39%    -5.90    -1.39    -6.31   1/8
  F 부채 ≤100 + PBR ≤0.8            120   3,086    -0.68    -5.04    -5.67   45%    +1.36    -3.21    -1.91   4/9
  F 부채 ≤100 + PBR ≤0.8            250   1,662    -2.05    -9.87    -9.86   44%    -0.13    -5.10    -2.82   2/8
  L 고점대비 -60%↓                    120   1,264    -2.26   -11.11   -11.28   54%    -0.61    -8.92   -11.30   2/11
  L 고점대비 -60%↓                    250     896    +0.63   -15.59   -13.11   55%    +3.00   -11.85   -18.35   2/10
  L 고점대비 -60~-40%                 120   5,055    -1.15    -7.91    -9.17   46%    -0.03    -4.83    -5.50   3/11
  L 고점대비 -60~-40%                 250   3,219    +1.93   -13.96   -14.42   44%    +4.17    -6.84    -7.38   3/10
  L 고점대비 -40~-25%                 120   8,867    -1.04    -7.91    -8.76   40%    -0.45    -2.51    -3.23   1/11
  L 고점대비 -40~-25%                 250   5,171    -2.19   -13.45   -13.84   40%    -1.54    -4.26    -5.42   2/10
  L 1년수익 -50%↓                    120   1,495    -1.97    -8.96   -11.14   51%    +0.24   -10.28    -8.72   3/11
  L 1년수익 -50%↓                    250   1,116    +2.81   -12.71   -11.66   53%    +4.82    -6.40    -8.19   5/10
  L 1년수익 -50~-30%                 120   4,553    -3.18    -7.52    -9.18   44%    -2.36    -5.55    -5.39   1/11
  L 1년수익 -50~-30%                 250   2,982    -1.62   -13.60   -14.13   45%    +0.60    -9.32    -5.45   2/10
  L 20일선위 비율 ≤30%                 120   1,372    -2.84    -7.63   -10.01   42%    -2.56    -3.52    -7.01   2/11
  L 20일선위 비율 ≤30%                 250   1,028    +0.87   -15.29   -15.83   40%    +3.69    -6.53    -9.88   3/10
  L 20일선위 비율 ≥70%                 120     396    +2.04    -7.55    -5.93   45%    -2.59   +14.22    -2.94   6/11
  L 20일선위 비율 ≥70%                 250     288    -2.41    -9.49   -10.41   42%    -5.94   +13.98   -12.40   4/10
  L 2M/1Y 거래량 ≤60%                120   7,681    -0.80    -6.78    -7.12   39%    -0.34    -1.88    -2.61   2/11
  L 2M/1Y 거래량 ≤60%                250   4,589    -2.15   -12.33   -12.36   38%    -2.20    -2.02    -4.66   2/10
  L 소외 3종(고점·1년·거래량)              120   2,571    -1.57    -7.22    -7.90   44%    -0.32    -4.97    -4.97   3/11
  L 소외 3종(고점·1년·거래량)              250   1,804    -0.10   -13.14   -12.56   42%    +2.03    -7.22    -5.40   4/10
  M 시총 ≤1000억                     120   3,678    +1.84    -6.51    -6.59   46%    +4.95    -3.55    -0.72   6/11
  M 시총 ≤1000억                     250   2,318    +3.65   -11.73    -9.91   44%    +6.89    -1.37    -1.93   7/10
  M 시총 1000억~1조                   120   8,424    -2.07    -7.83    -8.62   39%    -1.55    -3.26    -3.72   2/11
  M 시총 1000억~1조                   250   4,412    -2.06   -13.69   -14.57   38%    -1.11    -4.54    -6.09   2/10
  M 시총 ≥1조                        120   4,000    +0.06    -4.21    -5.26   46%    -3.92    +7.75    -1.99   5/11
  M 시총 ≥1조                        250   1,993    +0.81    -9.88    -8.95   44%    -7.14   +18.20    -3.01   4/10
  S 외국인 60일 ≥1%                   120   9,319    -0.19    -6.34    -6.91   42%    -0.89    +1.32    -1.77   6/11
  S 외국인 60일 ≥1%                   250   5,392    -1.52   -12.27   -12.52   40%    -2.64    +1.53    -3.69   4/10
  S 기관 60일 ≥1%                    120   7,074    -1.41    -5.88    -6.98   42%    -3.36    +2.98    -2.06   4/11
  S 기관 60일 ≥1%                    250   4,269    -2.23   -11.77   -12.28   41%    -4.48    +4.05    -3.37   5/10
  S 공매도 비중 ≤0.3%                  120   7,881    -0.01    -6.74    -7.38   45%    +1.21    -2.32    -1.38   6/11
  S 공매도 비중 ≤0.3%                  250   4,508    -1.83   -11.99   -12.19   45%    -1.78    -1.93    -4.50   5/10
  X 120일 -40%↓                    120   2,079    -0.86    -6.14    -8.16   57%    -0.79    -1.18    -5.40   4/11
  X 120일 -40%↓                    250   1,659    -0.25   -12.93   -12.72   51%    +0.69    -4.68    -9.98   2/10
  X 250일 -50%↓                    120   1,495    -1.97    -8.96   -11.14   51%    +0.24   -10.28    -8.72   3/11
  X 250일 -50%↓                    250   1,116    +2.81   -12.71   -11.66   53%    +4.82    -6.40    -8.19   5/10
  VL PBR≤0.8 + 고점 -40%↓           120   2,400    -1.21    -5.80    -7.30   53%    -0.27    -3.79    -4.73   4/11
  VL PBR≤0.8 + 고점 -40%↓           250   1,657    -0.09   -10.47   -10.63   53%    +1.79    -6.54    -6.94   5/10
  VL PBR≤0.5 + 고점 -40%↓           120   1,330    +0.41    -5.78    -6.67   59%    +1.58    -2.60    -3.77   4/11
  VL PBR≤0.5 + 고점 -40%↓           250     972    +5.30    -8.03    -6.62   61%    +9.20    -7.21    -6.85   3/10
  VL PBR≤0.8 + 1년 -30%↓           120   2,471    -1.14    -6.18    -7.53   51%    -0.27    -3.45    -3.08   3/11
  VL PBR≤0.8 + 1년 -30%↓           250   1,696    -0.17   -10.55   -10.55   53%    +1.55    -5.79    -4.68   3/10
  VL PBR≤0.8 + 거래량침체              120   3,656    -0.37    -5.08    -5.34   42%    +1.01    -2.64    -1.82   6/11
  VL PBR≤0.8 + 거래량침체              250   2,280    -1.44    -9.67    -9.49   42%    -1.01    -2.38    -3.97   4/10
  VLF PBR≤0.8 + 고점-40 + 부채≤100    120   1,048    -1.36    -5.47    -7.23   53%    -0.51    -3.01    -6.35   5/9
  VLF PBR≤0.8 + 고점-40 + 부채≤100    250     726    -1.50   -10.32   -10.94   53%    -0.14    -4.79    -5.09   4/8
  VLS PBR≤0.8 + 고점-40 + 외인60      120   1,504    +0.83    -5.56    -5.90   52%    +2.51    -3.74    -3.19   5/11
  VLS PBR≤0.8 + 고점-40 + 외인60      250   1,083    +1.59   -10.59   -10.57   50%    +3.93    -6.81    -5.78   4/10

============================================================================================================================
[KOSDAQ] 장기 축 정찰 — 유니버스 대비 초과(2016~) · 중복신호 제거 · 상위5% 절삭 포함
============================================================================================================================
  축                                보유      건수       초과       중앙       절삭    승률       학습       검증      월CI    양수해
  V PBR ≤0.3                      120     383    +1.83    -4.92    -6.36   51%    -0.35    +3.31    -3.88   6/11
  V PBR ≤0.3                      250     240    +6.22    -6.63    -6.61   57%    +5.75    +6.72   -12.10   3/10
