
============================================================================================================================
[KOSPI] 장기 축 정찰 — 유니버스 대비 초과(2016~) · 중복신호 제거 · 상위5% 절삭 포함
============================================================================================================================
  ※ '평균초과' 는 유니버스 평균 대비, 나머지는 유니버스 **중앙값** 대비다
  축                                보유      건수     평균초과     중앙초과      중앙값       절삭    승률       학습       검증      월CI    양수해
  V PBR ≤0.3                      120   1,125    +1.50   +11.07    +3.71    +5.08   57%   +15.09    +7.18    +6.07   9/11
  V PBR ≤0.3                      250     690    +7.21   +23.17    +8.49   +11.92   64%   +26.59   +18.35   +13.09   7/10
  V PBR ≤0.5                      120   3,819    +1.27    +9.38    +2.07    +3.39   50%   +10.67    +7.69    +6.71  11/11
  V PBR ≤0.5                      250   2,137    +3.72   +18.30    +5.05    +8.65   53%   +21.05   +13.58   +12.82  10/10
  V PBR ≤0.8                      120   7,158    -0.23    +7.41    +1.22    +1.86   46%    +8.15    +6.09    +6.27  11/11
  V PBR ≤0.8                      250   3,804    -0.67   +13.40    +1.86    +4.31   46%   +14.40   +11.17   +10.31  10/10
  V PBR ≤1.2                      120   9,832    -0.08    +7.46    +0.31    +1.14   44%    +8.23    +5.81    +6.50  11/11
  V PBR ≤1.2                      250   5,115    -0.95   +12.76    +1.01    +3.13   44%   +13.41   +11.13   +11.18  10/10
  V PBR ≥3                        120   2,283    -3.72    +3.13    -5.59    -5.42   36%    +0.45   +12.11    +2.15   8/11
  V PBR ≥3                        250   1,270    -4.51    +7.82   -10.78    -7.76   32%    +4.58   +21.18    +5.63   6/10
  V PBR ≤0.5 + PER ≤10            120   2,277    +0.83    +9.08    +3.02    +3.94   53%    +9.30    +8.82    +6.33  11/11
  V PBR ≤0.5 + PER ≤10            250   1,300    +3.23   +18.47    +6.54    +9.67   56%   +19.82   +16.47    +9.32  10/10
  V PBR ≤0.8 + PER ≤15            120   4,717    +0.03    +7.77    +1.73    +2.54   47%    +8.22    +7.03    +6.51  11/11
  V PBR ≤0.8 + PER ≤15            250   2,573    -0.90   +13.81    +2.67    +5.34   48%   +13.05   +15.35    +9.39  10/10
  F 부채비율 ≤100%                    120   6,242    -1.30    +5.17    -0.34    -0.40   42%    +5.42    +4.74    +3.69   9/9
  F 부채비율 ≤100%                    250   3,166    -3.31    +8.64    -1.16    +0.32   39%    +7.71   +10.55    +7.41   8/8
  F 부채비율 ≤50%                     120   3,337    -1.90    +4.61    -0.30    -0.73   42%    +4.52    +4.78    +3.51   9/9
  F 부채비율 ≤50%                     250   1,697    -4.47    +7.53    -0.81    -0.31   39%    +5.77   +11.30    +5.83   8/8
  F 부채 ≤100 + PBR ≤0.8            120   3,086    -0.68    +6.51    +1.11    +1.32   45%    +8.61    +3.88    +4.57   9/9
  F 부채 ≤100 + PBR ≤0.8            250   1,662    -2.05   +11.01    +1.24    +2.91   44%   +12.93    +7.96    +9.34   8/8
  L 고점대비 -60%↓                    120   1,264    -2.26    +9.77    -1.79    +0.22   54%   +12.83    -2.64    -3.75   5/11
  L 고점대비 -60%↓                    250     896    +0.63   +17.85    -0.78    +3.81   55%   +21.13    +0.57    -4.55   8/10
  L 고점대비 -60~-40%                 120   5,055    -1.15    +6.73    -1.36    -1.53   46%    +8.32    +1.48    +1.84   9/11
  L 고점대비 -60~-40%                 250   3,219    +1.93   +15.50    -2.84    -1.11   44%   +18.13    +5.22    +6.30   9/10
  L 고점대비 -40~-25%                 120   8,867    -1.04    +6.04    -2.05    -1.81   40%    +6.83    +4.04    +3.95  11/11
  L 고점대비 -40~-25%                 250   5,171    -2.19   +10.88    -2.67    -0.93   40%   +11.94    +7.50    +8.24  10/10
  L 1년수익 -50%↓                    120   1,495    -1.97    +9.32    -1.37    -0.45   51%   +12.71    -3.51    -1.06   6/11
  L 1년수익 -50%↓                    250   1,116    +2.81   +19.18    +1.53    +4.34   53%   +21.98    +6.29    +5.59   8/10
  L 1년수익 -50~-30%                 120   4,553    -3.18    +4.98    -1.38    -1.32   44%    +6.44    +0.80    +2.00   7/11
  L 1년수익 -50~-30%                 250   2,982    -1.62   +12.45    -2.13    -0.39   45%   +15.17    +3.00    +7.86   7/10
  L 20일선위 비율 ≤30%                 120   1,372    -2.84    +4.74    -1.30    -2.67   42%    +5.69    +2.48    +0.55   8/11
  L 20일선위 비율 ≤30%                 250   1,028    +0.87   +14.91    -3.99    -2.12   40%   +18.03    +6.76    +3.79   7/10
  L 20일선위 비율 ≥70%                 120     396    +2.04   +10.43    +0.23    +2.42   45%    +6.23   +21.47    +5.10   9/11
  L 20일선위 비율 ≥70%                 250     288    -2.41   +10.48    -0.69    +2.55   42%    +6.88   +27.21    +2.87   8/10
  L 2M/1Y 거래량 ≤60%                120   7,681    -0.80    +5.57    -1.39    -0.87   39%    +5.91    +4.77    +4.69  11/11
  L 2M/1Y 거래량 ≤60%                250   4,589    -2.15   +10.55    -1.49    +0.15   38%   +10.68   +10.17    +9.04  10/10
  L 소외 3종(고점·1년·거래량)              120   2,571    -1.57    +5.87    -0.79    -0.79   44%    +7.47    +1.51    +2.41   9/11
  L 소외 3종(고점·1년·거래량)              250   1,804    -0.10   +13.40    -2.01    +0.57   42%   +15.80    +5.40    +8.20   8/10
  M 시총 ≤1000억                     120   3,678    +1.84    +9.66    -0.00    +1.06   46%   +13.32    +3.31    +6.79  10/11
  M 시총 ≤1000억                     250   2,318    +3.65   +18.92    +1.30    +5.17   44%   +21.72   +14.55   +11.87   9/10
  M 시총 1000억~1조                   120   8,424    -2.07    +5.15    -1.97    -1.57   39%    +5.87    +3.47    +3.40  11/11
  M 시총 1000억~1조                   250   4,412    -2.06   +11.26    -2.36    -1.47   38%   +12.46    +8.12    +7.41  10/10
  M 시총 ≥1조                        120   4,000    +0.06    +7.25    +1.68    +1.81   46%    +3.38   +14.74    +5.64  11/11
  M 시총 ≥1조                        250   1,993    +0.81   +13.61    +1.47    +3.66   44%    +5.79   +30.74   +10.59   8/10
  S 외국인 60일 ≥1%                   120   9,319    -0.19    +7.05    -0.39    +0.21   42%    +6.53    +8.17    +5.57  11/11
  S 외국인 60일 ≥1%                   250   5,392    -1.52   +12.13    -0.93    +0.95   40%   +11.36   +14.23    +9.97  10/10
  S 기관 60일 ≥1%                    120   7,074    -1.41    +5.93    +0.01    +0.25   42%    +4.21    +9.81    +5.43  11/11
  S 기관 60일 ≥1%                    250   4,269    -2.23   +11.42    -0.26    +1.22   41%    +9.47   +16.90   +10.44  10/10
  S 공매도 비중 ≤0.3%                  120   7,881    -0.01    +7.31    -0.70    -0.18   45%    +9.56    +3.06    +5.75  10/11
  S 공매도 비중 ≤0.3%                  250   4,508    -1.83   +11.70    -0.73    +1.17   45%   +13.18    +8.60    +9.45  10/10
  X 120일 -40%↓                    120   2,079    -0.86    +9.34    +1.16    +1.56   57%   +10.42    +4.66    +2.14  11/11
  X 120일 -40%↓                    250   1,659    -0.25   +14.43    -0.80    +1.66   51%   +15.90    +7.53    +3.91   8/10
  X 250일 -50%↓                    120   1,495    -1.97    +9.32    -1.37    -0.45   51%   +12.71    -3.51    -1.06   6/11
  X 250일 -50%↓                    250   1,116    +2.81   +19.18    +1.53    +4.34   53%   +21.98    +6.29    +5.59   8/10
  VL PBR≤0.8 + 고점 -40%↓           120   2,400    -1.21    +8.02    +0.91    +1.63   53%   +10.02    +2.54    +2.99   9/11
  VL PBR≤0.8 + 고점 -40%↓           250   1,657    -0.09   +14.62    +1.28    +3.77   53%   +17.08    +6.22    +6.91   9/10
  VL PBR≤0.5 + 고점 -40%↓           120   1,330    +0.41   +11.04    +1.72    +3.49   59%   +13.99    +3.45    +3.51  10/11
