
============================================================================================================================
[KOSPI] 장기 축 정찰 — 유니버스 대비 초과(2016~) · 중복신호 제거 · 상위5% 절삭 포함
============================================================================================================================
  ※ 기준선 = base() 유니버스 **평균**(우리가 고를 수 있는 종목만). 중앙초과는 참고
  축                                보유      건수       초과       중앙       절삭     중앙초과    승률       학습       검증      월CI    양수해
  V PBR ≤0.3                      120   1,125    +1.55    -3.59    -4.06   +10.39   57%    +3.90    -0.73    -0.88   5/11
  V PBR ≤0.3                      250     690    +6.32    -5.89    -4.47   +22.85   64%    +9.72    +1.52    +0.61   6/10
  V PBR ≤0.5                      120   3,819    +1.43    -3.70    -4.31    +9.24   50%    +2.51    +0.01    -0.75   6/11
  V PBR ≤0.5                      250   2,137    +3.57    -7.18    -5.87   +18.64   53%    +7.24    -2.75    -0.64   5/10
  V PBR ≤0.8                      120   7,158    +0.08    -4.61    -5.30    +7.59   46%    +1.07    -1.68    -1.25   5/11
  V PBR ≤0.8                      250   3,804    -0.29    -9.37    -9.11   +14.13   46%    +1.83    -4.98    -3.29   4/10
  V PBR ≤1.2                      120   9,832    +0.29    -5.11    -5.85    +7.79   44%    +1.29    -1.83    -0.65   6/11
  V PBR ≤1.2                      250   5,115    -0.33    -9.15    -9.74   +13.65   44%    +1.43    -4.71    -2.01   6/10
  V PBR ≥3                        120   2,283    -3.05   -10.77   -11.42    +3.90   36%    -5.34    +4.61    -4.57   4/11
  V PBR ≥3                        250   1,270    -3.26   -19.94   -18.43    +9.21   32%    -5.43    +5.69    -7.21   4/10
  V PBR ≤0.5 + PER ≤10            120   2,277    +0.94    -3.10    -4.00    +8.85   53%    +0.76    +1.16    -1.19   7/11
  V PBR ≤0.5 + PER ≤10            250   1,300    +2.73    -6.09    -5.78   +18.66   56%    +5.50    -1.37    -3.95   6/10
  V PBR ≤0.8 + PER ≤15            120   4,717    +0.36    -3.89    -4.70    +7.88   47%    +1.08    -0.83    -1.05   6/11
  V PBR ≤0.8 + PER ≤15            250   2,573    -0.67    -8.72    -8.82   +14.47   48%    +0.15    -2.34    -4.36   6/10
  F 부채비율 ≤100%                    120   6,242    -0.57    -5.24    -6.00    +5.62   42%    +0.65    -2.68    -2.18   4/9
  F 부채비율 ≤100%                    250   3,166    -2.46   -10.36   -10.60    +9.75   39%    -1.20    -5.07    -4.11   2/8
  F 부채비율 ≤50%                     120   3,337    -1.27    -5.26    -6.48    +5.01   42%    -0.37    -2.81    -2.46   4/9
  F 부채비율 ≤50%                     250   1,697    -3.63   -10.63   -11.26    +8.57   39%    -3.34    -4.26    -5.89   2/8
  F 부채 ≤100 + PBR ≤0.8            120   3,086    -0.32    -4.30    -5.30    +6.53   45%    +2.66    -4.05    -1.44   5/9
  F 부채 ≤100 + PBR ≤0.8            250   1,662    -1.86    -9.42    -9.64   +11.61   44%    +2.17    -8.30    -2.55   3/8
  L 고점대비 -60%↓                    120   1,264    -1.59   -10.55   -10.65    +8.79   54%    +0.46    -9.92   -11.06   3/11
  L 고점대비 -60%↓                    250     896    +0.29   -15.47   -13.40   +17.58   55%    +3.21   -15.05   -17.96   3/10
  L 고점대비 -60~-40%                 120   5,055    -0.64    -7.26    -8.65    +6.81   46%    +0.86    -5.57    -5.10   5/11
  L 고점대비 -60~-40%                 250   3,219    +2.65   -12.83   -13.67   +16.29   44%    +5.83    -9.80    -6.84   4/10
  L 고점대비 -40~-25%                 120   8,867    -0.51    -7.56    -8.22    +6.51   40%    +0.50    -3.05    -2.78   4/11
  L 고점대비 -40~-25%                 250   5,171    -1.19   -12.47   -12.83   +12.01   40%    +0.63    -6.99    -4.79   3/10
  L 1년수익 -50%↓                    120   1,495    -1.09    -8.16   -10.29    +8.77   51%    +1.39   -10.48    -8.35   4/11
  L 1년수익 -50%↓                    250   1,116    +2.58   -12.54   -11.79   +19.19   53%    +5.14    -9.21    -7.68   5/10
  L 1년수익 -50~-30%                 120   4,553    -2.49    -6.83    -8.48    +5.20   44%    -1.31    -5.87    -5.01   2/11
  L 1년수익 -50~-30%                 250   2,982    -0.94   -12.81   -13.42   +13.31   45%    +2.28   -12.11    -4.85   3/10
  L 20일선위 비율 ≤30%                 120   1,372    -2.27    -6.67    -9.44    +5.20   42%    -1.46    -4.20    -6.70   3/11
  L 20일선위 비율 ≤30%                 250   1,028    +1.56   -14.33   -15.09   +15.95   40%    +5.67    -9.20    -9.21   3/10
  L 20일선위 비율 ≥70%                 120     396    +2.20    -6.44    -5.68   +10.59   45%    -1.99   +13.23    -2.62   7/11
  L 20일선위 비율 ≥70%                 250     288    -1.70    -9.76    -9.68   +11.41   42%    -4.42   +10.96   -11.25   4/10
  L 2M/1Y 거래량 ≤60%                120   7,681    -0.36    -6.17    -6.66    +6.14   39%    +0.57    -2.48    -2.11   5/11
  L 2M/1Y 거래량 ≤60%                250   4,589    -1.34   -11.26   -11.51   +11.66   38%    -0.14    -4.78    -3.97   4/10
  L 소외 3종(고점·1년·거래량)              120   2,571    -1.22    -6.83    -7.53    +6.01   44%    +0.34    -5.47    -4.70   3/11
  L 소외 3종(고점·1년·거래량)              250   1,804    +0.35   -12.08   -12.07   +14.18   42%    +3.50   -10.15    -4.83   5/10
  M 시총 ≤1000억                     120   3,678    +2.16    -5.91    -6.29    +9.84   46%    +5.87    -4.27    -0.31   6/11
  M 시총 ≤1000억                     250   2,318    +3.53   -11.20   -10.02   +19.24   44%    +8.74    -4.55    -1.43   6/10
  M 시총 1000억~1조                   120   8,424    -1.71    -7.25    -8.27    +5.61   39%    -0.73    -3.98    -3.42   1/11
  M 시총 1000억~1조                   250   4,412    -1.40   -12.49   -13.89   +12.22   38%    +0.93    -7.50    -5.37   3/10
  M 시총 ≥1조                        120   4,000    +0.15    -3.92    -5.12    +7.59   46%    -3.24    +6.71    -1.66   5/11
  M 시총 ≥1조                        250   1,993    +1.33    -8.77    -8.33   +14.47   44%    -5.07   +15.34    -2.33   5/10
  S 외국인 60일 ≥1%                   120   9,319    +0.27    -5.68    -6.43    +7.56   42%    +0.16    +0.52    -1.27   7/11
  S 외국인 60일 ≥1%                   250   5,392    -0.74   -10.85   -11.70   +13.21   40%    -0.48    -1.43    -2.90   5/10
  S 기관 60일 ≥1%                    120   7,074    -0.89    -5.06    -6.44    +6.51   42%    -2.25    +2.18    -1.65   4/11
  S 기관 60일 ≥1%                    250   4,269    -1.47   -10.54   -11.46   +12.54   41%    -2.36    +1.05    -2.67   5/10
  S 공매도 비중 ≤0.3%                  120   7,881    +0.52    -6.21    -6.88    +7.79   45%    +2.17    -2.61    -0.88   7/11
  S 공매도 비중 ≤0.3%                  250   4,508    -1.21   -11.16   -11.58   +12.69   45%    +0.23    -4.23    -3.84   5/10
  X 120일 -40%↓                    120   2,079    -0.27    -6.16    -7.60    +8.71   57%    +0.15    -2.10    -5.19   5/11
  X 120일 -40%↓                    250   1,659    -0.00   -11.98   -12.40   +14.78   51%    +1.63    -7.66    -9.45   3/10
  X 250일 -50%↓                    120   1,495    -1.09    -8.16   -10.29    +8.77   51%    +1.39   -10.48    -8.35   4/11
  X 250일 -50%↓                    250   1,116    +2.58   -12.54   -11.79   +19.19   53%    +5.14    -9.21    -7.68   5/10
  VL PBR≤0.8 + 고점 -40%↓           120   2,400    -0.78    -5.53    -6.90    +7.66   53%    +0.61    -4.62    -4.53   4/11
  VL PBR≤0.8 + 고점 -40%↓           250   1,657    +0.07   -10.00   -10.46   +14.96   53%    +2.90    -9.58    -6.43   5/10
  VL PBR≤0.5 + 고점 -40%↓           120   1,330    +0.92    -5.50    -6.20   +10.32   59%    +2.60    -3.40    -3.54   4/11
  VL PBR≤0.5 + 고점 -40%↓           250     972    +5.15    -8.08    -6.79   +21.17   61%    +9.88   -10.03    -6.29   5/10
  VL PBR≤0.8 + 1년 -30%↓           120   2,471    -0.56    -5.68    -6.96    +7.86   51%    +0.72    -3.96    -2.82   4/11
  VL PBR≤0.8 + 1년 -30%↓           250   1,696    +0.14    -9.81   -10.22   +15.35   53%    +2.84    -8.62    -4.19   5/10
  VL PBR≤0.8 + 거래량침체              120   3,656    -0.12    -4.75    -5.08    +6.57   42%    +1.78    -3.24    -1.51   6/11
  VL PBR≤0.8 + 거래량침체              250   2,280    -1.13    -9.12    -9.14   +12.19   42%    +0.73    -5.17    -3.40   4/10
  VLF PBR≤0.8 + 고점-40 + 부채≤100    120   1,048    -0.96    -5.52    -6.86    +6.97   53%    +0.58    -4.01    -6.25   4/9
  VLF PBR≤0.8 + 고점-40 + 부채≤100    250     726    -1.77   -10.31   -11.16   +12.74   53%    +0.66    -7.62    -4.92   5/8
  VLS PBR≤0.8 + 고점-40 + 외인60      120   1,504    +1.45    -4.73    -5.29    +9.36   52%    +3.57    -4.33    -2.86   7/11
  VLS PBR≤0.8 + 고점-40 + 외인60      250   1,083    +2.18    -9.44    -9.98   +16.13   50%    +5.46    -9.60    -5.30   4/10

